protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
graphql,aggregate,high,1,lat_p95,30,0.1164181818699469,False
graphql,aggregate,high,10,lat_p95,30,0.0009929293156626616,True
graphql,aggregate,high,50,lat_p95,30,0.003267633984625309,True
graphql,aggregate,high,100,lat_p95,30,0.19393868506965062,False
graphql,aggregate,low,1,lat_p95,30,0.1504035531559279,False
graphql,aggregate,low,10,lat_p95,30,0.0009523152805159818,True
graphql,aggregate,low,50,lat_p95,30,0.007040476805548614,True
graphql,aggregate,low,100,lat_p95,30,0.284547710706653,False
graphql,aggregate,medium,1,lat_p95,30,0.16105095229929717,False
graphql,aggregate,medium,10,lat_p95,30,0.0002987301685242769,True
graphql,aggregate,medium,50,lat_p95,30,0.011616857073907758,True
graphql,aggregate,medium,100,lat_p95,30,6.784227049710862e-05,True
graphql,baseline,high,1,lat_p95,30,0.09599375050100657,False
graphql,baseline,high,10,lat_p95,30,0.0058233089168757395,True
graphql,baseline,high,50,lat_p95,30,0.028192267398805506,True
graphql,baseline,high,100,lat_p95,30,0.2648745152555358,False
graphql,baseline,low,1,lat_p95,30,0.3572698464647568,False
graphql,baseline,low,10,lat_p95,30,0.00010960445766261068,True
graphql,baseline,low,50,lat_p95,30,0.00017675628029514392,True
graphql,baseline,low,100,lat_p95,30,0.0005128446631097388,True
graphql,baseline,medium,1,lat_p95,30,0.455679235490879,False
graphql,baseline,medium,10,lat_p95,30,0.003849109277843495,True
graphql,baseline,medium,50,lat_p95,30,0.12408856162714249,False
graphql,baseline,medium,100,lat_p95,30,0.26597997206165314,False
graphql,filtered,high,1,lat_p95,30,0.5296466181681574,False
graphql,filtered,high,10,lat_p95,30,0.00019204242635097052,True
graphql,filtered,high,50,lat_p95,30,0.06762213538810494,False
graphql,filtered,high,100,lat_p95,30,0.024428219503819775,True
graphql,filtered,low,1,lat_p95,30,0.7376690573606042,False
graphql,filtered,low,10,lat_p95,30,0.012479052511815667,True
graphql,filtered,low,50,lat_p95,30,0.0031894475846686674,True
graphql,filtered,low,100,lat_p95,30,0.0018479170032925177,True
graphql,filtered,medium,1,lat_p95,30,0.30467457909436024,False
graphql,filtered,medium,10,lat_p95,30,0.009444621210473887,True
graphql,filtered,medium,50,lat_p95,30,0.005649013160268754,True
graphql,filtered,medium,100,lat_p95,30,0.5169609402730293,False
graphql,partial,high,1,lat_p95,30,0.5592771765223217,False
graphql,partial,high,10,lat_p95,30,1.8952834415622134e-07,True
graphql,partial,high,50,lat_p95,30,0.0580700525559668,False
graphql,partial,high,100,lat_p95,30,0.639968543579771,False
graphql,partial,low,1,lat_p95,30,0.1296803570960272,False
graphql,partial,low,10,lat_p95,30,0.00020272168104760175,True
graphql,partial,low,50,lat_p95,30,0.07572122453137028,False
graphql,partial,low,100,lat_p95,30,0.00022729946428939716,True
graphql,partial,medium,1,lat_p95,30,0.3392536719350292,False
graphql,partial,medium,10,lat_p95,30,0.00025102174248280444,True
