pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
aggregate,high,1,lat_p95,30,30,1.691106,7.812837199999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,10,lat_p95,30,30,19.7278335,123.08383494999995,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,50,lat_p95,30,30,169.5865212,375.10973490000003,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,100,lat_p95,30,30,268.22326599999997,689.7898024,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,1,lat_p95,30,30,1.6641415999999998,7.6628884,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,10,lat_p95,30,30,19.305569675,119.53048182499992,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,50,lat_p95,30,30,159.40113662499996,380.68463265,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,100,lat_p95,30,30,254.58083857499997,669.42050725,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,1,lat_p95,30,30,1.735415625,7.812335024999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,10,lat_p95,30,30,19.64960757499999,140.29767134999983,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,50,lat_p95,30,30,163.10326122499998,380.90615405,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,100,lat_p95,30,30,270.4133746,699.6149071499999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,1,lat_p95,30,30,9.174806749999998,21.00227775,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,10,lat_p95,30,30,74.45466535,234.31470189999993,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,50,lat_p95,30,30,386.13888985,886.0550027749999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,100,lat_p95,30,30,732.6147596,1707.925083775,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,1,lat_p95,30,30,2.8743033000000002,10.083202099999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
