metric,pattern,concurrency,rest_JT_z,rest_JT_p,rest_trend,graphql_JT_z,graphql_JT_p,graphql_trend,gap_delta_low,gap_delta_medium,gap_delta_high
lat_p95,aggregate,1,3.088888888888889,0.002009065616057348,increasing,6.518518518518518,7.100517261994624e-11,increasing,-1.0,-1.0,-1.0
lat_p95,aggregate,10,1.5629629629629629,0.11806130656211766,increasing,1.288888888888889,0.19743671740097046,increasing,-1.0,-1.0,-1.0
lat_p95,aggregate,50,7.074074074074074,1.504499096913548e-12,increasing,-0.8962962962962963,0.37009453668330494,decreasing,-1.0,-1.0,-1.0
lat_p95,aggregate,100,5.303703703703704,1.134764448462207e-07,increasing,3.2888888888888888,0.001005837228870916,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,10,10.0,1.523970604832094e-23,increasing,9.940740740740742,2.767613815979921e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,10,10.0,1.523970604832094e-23,increasing,4.162962962962963,3.1414433882555794e-05,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,50,10.0,1.523970604832094e-23,increasing,9.481481481481481,2.5069814350742804e-21,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,100,10.0,1.523970604832094e-23,increasing,9.925925925925926,3.21108416360293e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,10,10.0,1.523970604832094e-23,increasing,6.37037037037037,1.8857226603850526e-10,increasing,-1.0,-1.0,-1.0
lat_p95,partial,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,100,10.0,1.523970604832094e-23,increasing,9.992592592592592,1.642291764842567e-23,increasing,-1.0,-1.0,-1.0
throughput_rps,aggregate,1,-3.3703703703703702,0.0007506721520825858,decreasing,-6.266666666666667,3.68858563638787e-10,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,10,-2.5185185185185186,0.011784968618825583,decreasing,-5.874074074074074,4.252132226263339e-09,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,50,-9.755555555555556,1.7464181913191357e-22,decreasing,-1.7481481481481482,0.08043837751188324,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,100,-8.014814814814814,1.1030308199182465e-15,decreasing,-5.474074074074074,4.398050821086811e-08,decreasing,1.0,1.0,1.0
throughput_rps,baseline,1,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,10,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,50,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,100,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,1,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,10,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,50,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,100,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,1,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,10,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,50,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,100,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
payload_bytes_med,aggregate,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,baseline,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.26,-0.6711111111111111,-0.36
payload_bytes_med,baseline,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.26222222222222225,-0.7744444444444445,-0.3933333333333333
payload_bytes_med,baseline,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.34,-0.6433333333333333,-0.4288888888888889
