protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
graphql,aggregate,high,10,lat_p95,30,0.481757228587734,False
graphql,aggregate,high,50,lat_p95,30,0.022807642887454366,True
graphql,aggregate,high,100,lat_p95,30,0.1029191473208606,False
graphql,aggregate,low,10,lat_p95,30,0.1802067347756537,False
graphql,aggregate,low,50,lat_p95,30,0.4765738220629895,False
graphql,aggregate,low,100,lat_p95,30,0.8536132480359817,False
graphql,aggregate,medium,10,lat_p95,30,0.038688510376856854,True
graphql,aggregate,medium,50,lat_p95,30,0.022565402829492334,True
graphql,aggregate,medium,100,lat_p95,30,0.0915861680004355,False
graphql,baseline,high,10,lat_p95,30,0.01344009162306715,True
graphql,baseline,high,50,lat_p95,30,0.00016279272189685356,True
graphql,baseline,high,100,lat_p95,30,0.35969186184225244,False
graphql,baseline,low,10,lat_p95,30,0.37503228035091923,False
graphql,baseline,low,50,lat_p95,30,0.029247982699035533,True
graphql,baseline,low,100,lat_p95,30,0.37486657411735225,False
graphql,baseline,medium,10,lat_p95,30,0.02244334363124211,True
graphql,baseline,medium,50,lat_p95,30,0.00018554263896979628,True
graphql,baseline,medium,100,lat_p95,30,0.4668484369370937,False
graphql,filtered,high,10,lat_p95,30,0.03821692289423197,True
graphql,filtered,high,50,lat_p95,30,0.008262783995394365,True
graphql,filtered,high,100,lat_p95,30,0.8337159357186008,False
graphql,filtered,low,10,lat_p95,30,0.10277494365497547,False
graphql,filtered,low,50,lat_p95,30,0.25568004802735567,False
graphql,filtered,low,100,lat_p95,30,0.36099654766343137,False
graphql,filtered,medium,10,lat_p95,30,0.03431637093343556,True
graphql,filtered,medium,50,lat_p95,30,0.06678003244575718,False
graphql,filtered,medium,100,lat_p95,30,0.2599084994671883,False
graphql,partial,high,10,lat_p95,30,0.02531229850544479,True
graphql,partial,high,50,lat_p95,30,0.016447603502693104,True
graphql,partial,high,100,lat_p95,30,0.7079400390969894,False
graphql,partial,low,10,lat_p95,30,0.385056382316641,False
graphql,partial,low,50,lat_p95,30,0.14663774775113714,False
graphql,partial,low,100,lat_p95,30,0.20514253621402717,False
graphql,partial,medium,10,lat_p95,30,0.005159300026925227,True
graphql,partial,medium,50,lat_p95,30,0.6665041966035479,False
graphql,partial,medium,100,lat_p95,30,0.7839358147261605,False
rest,aggregate,high,10,lat_p95,30,0.5843971103961951,False
rest,aggregate,high,50,lat_p95,30,0.6202349860266916,False
rest,aggregate,high,100,lat_p95,30,0.21845944981892407,False
rest,aggregate,low,10,lat_p95,30,0.17074809258467638,False
rest,aggregate,low,50,lat_p95,30,0.00040065251277218863,True
rest,aggregate,low,100,lat_p95,30,0.4163928261946612,False
