pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
aggregate,high,10,lat_p95,30,30,18.759705599999997,138.0206243,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,50,lat_p95,30,30,173.73603,393.459968275,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,100,lat_p95,30,30,269.82967495,708.84224335,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,10,lat_p95,30,30,17.85891155,135.9299538749999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,50,lat_p95,30,30,164.96422404999996,391.697819375,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,low,100,lat_p95,30,30,252.49621547499999,681.065081,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,10,lat_p95,30,30,18.497009724999998,139.19907185,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,50,lat_p95,30,30,170.34962587499996,396.981130375,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,100,lat_p95,30,30,271.536053325,704.7229598499999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,10,lat_p95,30,30,73.93102012499999,223.61804297499998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,50,lat_p95,30,30,391.37774509999986,879.494960875,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,high,100,lat_p95,30,30,729.1707253,1727.8934385249988,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,10,lat_p95,30,30,30.248700499999998,160.20489614999997,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,50,lat_p95,30,30,200.89543249999997,509.27946585,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,low,100,lat_p95,30,30,342.24297335,937.8850861999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,10,lat_p95,30,30,49.40212384999998,181.88870884999994,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,50,lat_p95,30,30,275.0631639999999,669.9877962749999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
baseline,medium,100,lat_p95,30,30,511.83968389999995,1267.9980280999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,10,lat_p95,30,30,42.66323975,183.15502625,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,50,lat_p95,30,30,237.7913367,620.99109375,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,high,100,lat_p95,30,30,431.2178525,1139.8138495,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,10,lat_p95,30,30,22.549183,159.45670965,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,50,lat_p95,30,30,179.77518684999995,482.60775265,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,100,lat_p95,30,30,292.5598303,892.277738925,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,10,lat_p95,30,30,33.4801688,159.2618751,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,50,lat_p95,30,30,214.26829802499998,555.1124248999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,100,lat_p95,30,30,364.16996737499994,1008.962800825,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,10,lat_p95,30,30,50.593235149999984,166.57352029999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,50,lat_p95,30,30,274.0037959,601.071660975,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,100,lat_p95,30,30,496.8023063,1135.2527532,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,10,lat_p95,30,30,22.874624975000003,147.75530442499996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,50,lat_p95,30,30,183.591746675,448.7686381,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,100,lat_p95,30,30,294.854032175,813.186309975,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,10,lat_p95,30,30,35.57392245,157.60947614999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,50,lat_p95,30,30,229.6658018,515.5314993499999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,100,lat_p95,30,30,387.79164649999996,944.4076383999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,10,throughput_rps,30,30,673.6968688893335,169.79571309700844,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,high,50,throughput_rps,30,30,609.4426504993025,165.62829412681572,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
