metric,pattern,concurrency,rest_JT_z,rest_JT_p,rest_trend,graphql_JT_z,graphql_JT_p,graphql_trend,gap_delta_low,gap_delta_medium,gap_delta_high
lat_p95,aggregate,10,6.733333333333333,1.6581958174413548e-11,increasing,0.14074074074074075,0.8880747589492924,increasing,-1.0,-1.0,-1.0
lat_p95,aggregate,50,7.888888888888889,3.0488881880005374e-15,increasing,1.1037037037037036,0.2697216884884738,increasing,-1.0,-1.0,-1.0
lat_p95,aggregate,100,6.066666666666666,1.305921997992241e-09,increasing,7.437037037037037,1.0296868873661977e-13,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,10,10.0,1.523970604832094e-23,increasing,9.881481481481481,5.008686659628793e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,baseline,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,10,10.0,1.523970604832094e-23,increasing,5.718518518518518,1.074568074945508e-08,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,50,10.0,1.523970604832094e-23,increasing,9.97037037037037,2.0546122166925246e-23,increasing,-1.0,-1.0,-1.0
lat_p95,filtered,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,10,10.0,1.523970604832094e-23,increasing,7.148148148148148,8.795635984843321e-13,increasing,-1.0,-1.0,-1.0
lat_p95,partial,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
lat_p95,partial,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
throughput_rps,aggregate,10,-9.125925925925927,7.112562315008493e-20,decreasing,-8.325925925925926,8.367211583579274e-17,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,50,-9.97037037037037,2.0546122166925246e-23,decreasing,-4.303703703703704,1.6796626661556942e-05,decreasing,1.0,1.0,1.0
throughput_rps,aggregate,100,-6.896296296296296,5.337581045101857e-12,decreasing,-7.0814814814814815,1.4262143040484888e-12,decreasing,1.0,1.0,1.0
throughput_rps,baseline,10,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,50,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,baseline,100,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,10,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,50,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,filtered,100,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,10,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,50,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
throughput_rps,partial,100,-10.0,1.523970604832094e-23,decreasing,-10.0,1.523970604832094e-23,decreasing,1.0,1.0,1.0
payload_bytes_med,aggregate,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,aggregate,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
payload_bytes_med,baseline,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.45555555555555555,-0.9533333333333334,-0.7222222222222222
payload_bytes_med,baseline,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.5088888888888888,-0.8822222222222222,-0.6777777777777778
payload_bytes_med,baseline,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.6,-0.8288888888888889,-0.37777777777777777
payload_bytes_med,filtered,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.8888888888888888,-0.9333333333333333,-0.45111111111111113
payload_bytes_med,filtered,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.9444444444444444,-1.0,-0.26222222222222225
