run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
22dd7da0b11b,B0049,graphql,partial,medium,50,0,run-sesi-1,1781993842.421,1781993903.022,397.358043,524.0824669999998,606.719416,118.42017477203312,2676,0.4629978,0.341899,0,100.9672131147541,102.9,74.38262295081967,74.45,7133,
76892036fc4a,B0049,graphql,partial,medium,50,1,run-sesi-1,1781993903.026,1781993963.803,392.092031,521.2936818000001,608.1562612,117.66380669446878,2671,0.4736256,0.340732,0,100.49180327868854,102.9,74.45311475409835,74.47,7109,
0c0efe2080fa,B0049,graphql,partial,medium,50,2,run-sesi-1,1781993963.806,1781994024.248,390.039856,527.3456406999999,652.2218820599999,118.387212695969,2684,0.4640612,0.343108,0,101.28666666666668,102.9,74.47033333333333,74.49,7115,
b5873a2ce03e,B0049,graphql,partial,medium,50,3,run-sesi-1,1781994024.253,1781994084.993,406.68800050000004,532.9827123499999,590.2133502300002,118.4535248136498,2671,0.45753829999999995,0.33477650000000003,0,100.59180327868853,102.9,74.41508196721311,74.5,7154,
b50b25ed0e76,B0049,graphql,partial,medium,50,4,run-sesi-1,1781994084.997,1781994145.663,394.269006,514.6836716999998,607.5881434800001,118.9625524772573,2669,0.457929,0.342962,0,101.39152542372882,102.9,74.46677966101696,74.53,7175,
571be1970dad,B0049,graphql,partial,medium,50,5,run-sesi-1,1781994145.667,1781994206.400,383.6946335,495.22919145000003,549.7828860999999,120.4240530836195,2676,0.45732595,0.3470035,0,101.43333333333334,102.9,74.51,74.53,7270,
969d1b38695a,B0049,graphql,partial,medium,50,6,run-sesi-1,1781994206.405,1781994267.075,397.998537,524.401418,591.8587214,118.74411390404067,2676,0.464914,0.341715,0,100.89833333333334,102.045,74.5285,74.56,7161,
63b663bf710a,B0049,graphql,partial,medium,50,7,run-sesi-1,1781994267.081,1781994327.963,390.320387,525.9803036,596.6425055,117.81482732890677,2671,0.46934265000000003,0.3482845,0,100.9032786885246,102.9,74.51770491803279,74.57,7102,
ba97e7e7db52,B0049,graphql,partial,medium,50,8,run-sesi-1,1781994327.970,1781994388.667,388.455021,509.04055789999995,568.5308573600001,121.98060193570419,2671,0.43247610000000003,0.340679,0,100.31147540983608,101.9,74.55377049180328,74.57,7359,
299501d76a0b,B0049,graphql,partial,medium,50,9,run-sesi-1,1781994388.673,1781994449.250,389.513487,511.77185,555.496803,119.54921060948419,2684,0.454873,0.345259,0,100.99000000000001,102.9,74.53633333333333,74.59,7201,
