run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes,impl_mode
26e62e8cad72,B0084,graphql,aggregate,low,1,0,factorial-A,1782253720.338,1782253750.706,5.275591,7.658146149999999,7.964489369999998,167.57463598129937,213,0.006812649999999999,0.004421,0,92.47096774193548,94.95,72.39903225806452,72.4,5028,,passthrough
86a11e3f2bde,B0084,graphql,aggregate,low,1,1,factorial-A,1782253750.709,1782253781.063,5.320971999999999,7.724062000000001,7.98658232,164.32079130793292,214,0.006857,0.004458,0,92.41000000000001,94.9,72.4,72.4,4930,,passthrough
836f303c35e4,B0084,graphql,aggregate,low,1,2,factorial-A,1782253781.068,1782253811.408,5.339062,7.7226452,7.97062016,164.61751525275446,214,0.006873099999999999,0.004477,0,92.33666666666667,94.9,72.4,72.4,4939,,passthrough
ac1ae26863ed,B0084,graphql,aggregate,low,1,3,factorial-A,1782253811.414,1782253841.754,5.332977,7.728835,7.98857361,164.06171158735373,213,0.006854949999999999,0.004465,0,92.42580645161291,94.9,72.4,72.4,4922,,passthrough
4ff242876fa6,B0084,graphql,aggregate,low,1,4,factorial-A,1782253841.759,1782253872.104,5.2996490000000005,7.7145864500000005,8.068786799999998,165.31746438869385,214,0.006856050000000001,0.004443,0,92.68666666666667,94.9,72.40666666666667,72.41,4960,,passthrough
d517735864e9,B0084,graphql,aggregate,low,1,5,factorial-A,1782253872.107,1782253902.450,5.298285,7.6987265,8.040068199999999,164.65509303273487,215,0.006835,0.004449,0,92.60000000000001,94.9,72.41,72.41,4940,,passthrough
5d548c6dc0f8,B0084,graphql,aggregate,low,1,6,factorial-A,1782253902.456,1782253932.835,5.342613999999999,7.72965,8.013551200000002,162.9059870600833,214,0.0068806499999999994,0.004477500000000001,0,92.42903225806452,94.9,72.41,72.41,4888,,passthrough
b91a1f769e13,B0084,graphql,aggregate,low,1,7,factorial-A,1782253932.841,1782253963.209,5.2573954999999994,7.615555,7.870878500000001,168.17500676106354,214,0.006749,0.004394,0,91.98,94.495,72.41,72.41,5046,,passthrough
0f313ce93321,B0084,graphql,aggregate,low,1,8,factorial-A,1782253963.212,1782253993.592,5.302296,7.67341945,7.9820599,166.0495388117178,215,0.006811,0.004442,0,91.34193548387097,94.9,72.41,72.41,4982,,passthrough
0e30e95b7936,B0084,graphql,aggregate,low,1,9,factorial-A,1782253993.596,1782254023.958,5.3237915000000005,7.712358999999999,7.9652706,165.37899338936805,215,0.006853799999999999,0.004457,0,93.21000000000001,94.9,72.41,72.41,4962,,passthrough
886e42326613,B0084,graphql,aggregate,low,1,10,factorial-A,1782254023.963,1782254054.305,5.242492,7.618672,7.899296499999999,166.8650658855923,214,0.006773,0.004398,0,92.89333333333335,94.9,72.41,72.41,5006,,passthrough
4d41233d1508,B0084,graphql,aggregate,low,1,11,factorial-A,1782254054.310,1782254084.659,5.260548,7.61845415,7.8649565,168.78856769150113,215,0.006783,0.004416,0,91.9741935483871,95.45,72.41,72.41,5064,,passthrough
5a2ecd0e767e,B0084,graphql,aggregate,low,1,12,factorial-A,1782254084.664,1782254115.000,5.2589425,7.6088205,7.890187649999997,167.85024945756754,214,0.006773,0.004416,0,93.76,95.495,72.41,72.41,5036,,passthrough
