scenario,tier,rate_label,metric,family,group_a,group_b,overload_saturates,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
M1,high,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,11.757322,26.433943774999996,1.0871493692983765e-09
M1,high,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.728807275000001,33.6847073,1.0871493692983765e-09
M1,low,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.292863725,16.344669749999998,1.0871493692983765e-09
M1,low,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.9619485,15.406646875,1.0871493692983765e-09
M1,medium,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.08552775,19.401034425,1.0871493692983765e-09
M1,medium,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.672369325,19.551947300000002,1.0871493692983765e-09
M2,high,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.89179425,19.407135025000002,1.0871493692983765e-09
M2,high,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.077460474999999,19.904635175,1.0871493692983765e-09
M2,low,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.274324,14.3424945,1.0871493692983765e-09
M2,low,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.867356000000001,14.389629,1.0871493692983765e-09
M2,medium,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.790826,16.518658499999994,1.0871493692983765e-09
M2,medium,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.407744000000001,16.737658475,1.0871493692983765e-09
M3,high,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.900252974999999,18.6522395,1.0871493692983765e-09
M3,high,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.417357475,19.207593300000006,1.0871493692983765e-09
M3,low,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.306465750000001,16.7257732,1.0871493692983765e-09
M3,low,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.8447855,16.8184415,1.0871493692983765e-09
M3,medium,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.471472249999998,17.820506799999997,1.0871493692983765e-09
M3,medium,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.011549275,17.382884824999998,1.0871493692983765e-09
M4,high,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.27380175,14.999275699999998,1.0871493692983765e-09
M4,high,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.658614475,15.029768924999999,1.0871493692983765e-09
M4,low,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.962525825,13.66393275,1.0871493692983765e-09
M4,low,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.70137,14.113884475000003,1.0871493692983765e-09
M4,medium,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.547447250000001,14.513538299999997,1.0871493692983765e-09
M4,medium,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.0885715,14.489700850000002,1.0871493692983765e-09
M5,w2,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.049059025,17.80959575,1.0871493692983765e-09
M5,w2,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.907313224999996,17.88424705,1.0871493692983765e-09
M5,w23,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.87635565,23.25842305,1.0871493692983765e-09
M5,w23,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.490603699999998,24.017547325000002,1.0871493692983765e-09
M5,w8,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.3169531,19.29462075,1.0871493692983765e-09
M5,w8,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.129720475,19.4005745,1.0871493692983765e-09
M6,k1,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.43291005,17.724778225,1.0871493692983765e-09
