unix_ts,pid,cpu_percent,rss_mb
1783301345.198,1117679,0.00,54.37
1783301346.199,1117679,41.00,58.07
1783301347.200,1117679,61.00,59.34
1783301348.200,1117679,56.00,59.44
1783301349.201,1117679,55.00,59.62
1783301350.202,1117679,55.00,59.81
1783301351.202,1117679,59.00,59.97
1783301352.203,1117679,55.00,59.97
1783301353.203,1117679,55.00,59.97
1783301354.204,1117679,56.00,60.01
1783301355.205,1117679,60.00,60.04
1783301356.205,1117679,55.00,60.05
1783301357.206,1117679,55.00,60.05
1783301358.207,1117679,56.00,60.05
1783301359.207,1117679,59.00,60.07
1783301360.208,1117679,56.00,60.07
1783301361.208,1117679,55.00,60.07
1783301362.209,1117679,56.00,60.07
1783301363.210,1117679,59.00,60.08
1783301364.210,1117679,55.00,60.08
1783301365.211,1117679,54.00,60.08
1783301366.212,1117679,56.00,60.11
1783301367.212,1117679,59.00,60.12
1783301368.213,1117679,56.00,60.12
1783301369.213,1117679,54.00,60.12
1783301370.214,1117679,56.00,60.13
1783301371.215,1117679,59.00,60.13
1783301372.215,1117679,55.00,60.13
1783301373.216,1117679,54.00,60.13
1783301374.216,1117679,60.00,60.18
1783301375.217,1117679,55.00,60.18
1783301376.218,1117679,54.00,60.18
1783301377.218,1117679,55.00,60.18
1783301378.219,1117679,57.00,60.19
1783301379.219,1117679,54.00,60.19
1783301380.220,1117679,55.00,60.19
1783301381.221,1117679,55.00,60.19
1783301382.221,1117679,58.00,60.20
1783301383.222,1117679,54.00,60.20
1783301384.222,1117679,56.00,60.20
1783301385.223,1117679,57.00,60.21
1783301386.224,1117679,59.00,60.21
1783301387.224,1117679,53.00,60.21
1783301388.225,1117679,56.00,60.22
1783301389.226,1117679,59.00,60.22
1783301390.226,1117679,54.00,60.22
1783301391.227,1117679,55.00,60.22
1783301392.227,1117679,54.00,60.22
1783301393.228,1117679,59.00,60.22
1783301394.229,1117679,57.00,60.22
1783301395.229,1117679,54.00,60.22
1783301396.230,1117679,55.00,60.23
1783301397.230,1117679,60.00,60.23
1783301398.231,1117679,55.00,60.23
1783301399.231,1117679,54.00,60.23
1783301400.232,1117679,59.00,60.23
1783301401.232,1117679,56.00,60.23
1783301402.233,1117679,56.00,60.23
1783301403.234,1117679,54.00,60.23
1783301404.235,1117679,59.00,60.23
1783301405.235,1117679,54.00,60.23
1783301406.236,1117679,55.00,60.23
1783301407.237,1117679,55.00,60.23
1783301408.238,1117679,59.00,60.23
1783301409.238,1117679,57.00,60.23
1783301410.239,1117679,56.00,60.23
1783301411.239,1117679,55.00,60.23
1783301412.240,1117679,61.00,60.23
1783301413.241,1117679,56.00,60.23
1783301414.241,1117679,54.00,60.23
1783301415.242,1117679,55.00,60.23
1783301416.243,1117679,61.00,60.24
1783301417.243,1117679,57.00,60.24
1783301418.244,1117679,56.00,60.24
1783301419.245,1117679,62.00,60.24
1783301420.245,1117679,56.00,60.24
1783301421.246,1117679,54.00,60.24
1783301422.247,1117679,56.00,60.24
1783301423.247,1117679,61.00,60.24
1783301424.248,1117679,55.00,60.24
1783301425.249,1117679,54.00,60.24
1783301426.249,1117679,56.00,60.24
1783301427.250,1117679,60.00,60.24
1783301428.251,1117679,55.00,60.24
1783301429.251,1117679,57.00,60.24
1783301430.252,1117679,55.00,60.24
1783301431.253,1117679,59.00,60.24
1783301432.253,1117679,55.00,60.24
1783301433.254,1117679,56.00,60.24
1783301434.255,1117679,54.00,60.24
1783301435.255,1117679,60.00,60.24
1783301436.256,1117679,18.00,60.24
1783301437.257,1117679,57.00,60.25
1783301438.257,1117679,57.00,60.25
1783301439.258,1117679,59.00,60.25
1783301440.259,1117679,56.00,60.25
1783301441.259,1117679,54.00,60.25
1783301442.260,1117679,58.00,60.25
1783301443.261,1117679,58.00,60.25
1783301444.261,1117679,55.00,60.25
1783301445.262,1117679,54.00,60.25
1783301446.263,1117679,59.00,60.25
1783301447.263,1117679,56.00,60.25
1783301448.264,1117679,55.00,60.25
1783301449.264,1117679,54.00,60.25
1783301450.265,1117679,60.00,60.25
1783301451.266,1117679,55.00,60.25
1783301452.266,1117679,54.00,60.25
1783301453.267,1117679,55.00,60.29
1783301454.267,1117679,58.00,60.29
1783301455.268,1117679,55.00,60.29
1783301456.269,1117679,56.00,60.29
1783301457.269,1117679,58.00,60.30
1783301458.270,1117679,54.00,60.30
1783301459.271,1117679,55.00,60.30
1783301460.271,1117679,56.00,60.30
1783301461.272,1117679,57.00,60.30
1783301462.273,1117679,56.00,60.30
1783301463.273,1117679,55.00,60.30
1783301464.274,1117679,56.00,60.30
1783301465.275,1117679,58.00,60.31
1783301466.275,1117679,55.00,60.31
1783301467.276,1117679,55.00,60.31
1783301468.276,1117679,56.00,60.31
1783301469.277,1117679,58.00,60.31
1783301470.278,1117679,55.00,60.31
1783301471.278,1117679,55.00,60.31
1783301472.279,1117679,58.00,60.34
1783301473.279,1117679,55.00,60.34
1783301474.280,1117679,55.00,60.34
1783301475.280,1117679,56.00,60.34
1783301476.281,1117679,53.00,60.34
1783301477.282,1117679,59.00,60.34
1783301478.282,1117679,55.00,60.34
1783301479.283,1117679,54.00,60.34
1783301480.284,1117679,59.00,60.34
1783301481.284,1117679,54.00,60.34
1783301482.285,1117679,55.00,60.34
1783301483.285,1117679,55.00,60.34
1783301484.286,1117679,59.00,60.34
1783301485.287,1117679,56.00,60.34
1783301486.287,1117679,55.00,60.34
1783301487.288,1117679,52.00,60.34
1783301488.288,1117679,59.00,60.34
1783301489.289,1117679,54.00,60.34
1783301490.289,1117679,56.00,60.34
1783301491.290,1117679,60.00,60.34
1783301492.290,1117679,55.00,60.34
1783301493.291,1117679,55.00,60.34
1783301494.292,1117679,55.00,60.34
1783301495.292,1117679,55.00,60.34
1783301496.293,1117679,59.00,60.34
1783301497.293,1117679,56.00,60.34
1783301498.294,1117679,56.00,60.34
1783301499.295,1117679,58.00,60.34
1783301500.296,1117679,55.00,60.34
1783301501.296,1117679,56.00,60.34
1783301502.297,1117679,54.00,60.34
1783301503.297,1117679,59.00,60.34
1783301504.298,1117679,56.90,60.34
1783301505.299,1117679,54.00,60.34
1783301506.300,1117679,56.00,60.34
1783301507.300,1117679,59.00,60.34
1783301508.301,1117679,55.00,60.34
1783301509.301,1117679,55.00,60.34
1783301510.302,1117679,55.00,60.34
1783301511.303,1117679,59.00,60.34
1783301512.304,1117679,56.00,60.34
1783301513.305,1117679,55.00,60.34
1783301514.305,1117679,60.00,60.34
1783301515.306,1117679,57.00,60.34
1783301516.307,1117679,55.00,60.34
1783301517.308,1117679,55.00,60.34
1783301518.308,1117679,59.00,60.34
1783301519.309,1117679,55.00,60.34
1783301520.310,1117679,56.00,60.34
1783301521.311,1117679,54.00,60.34
1783301522.311,1117679,58.00,60.34
1783301523.312,1117679,56.00,60.34
1783301524.313,1117679,55.00,60.34
1783301525.313,1117679,54.00,60.34
1783301526.314,1117679,54.00,60.34
1783301527.314,1117679,23.00,60.34
1783301528.315,1117679,56.00,60.34
1783301529.316,1117679,56.00,60.34
1783301530.316,1117679,58.00,60.34
1783301531.317,1117679,55.00,60.34
1783301532.317,1117679,54.00,60.34
1783301533.318,1117679,60.00,60.34
1783301534.319,1117679,56.00,60.34
1783301535.319,1117679,55.00,60.34
1783301536.320,1117679,55.00,60.34
1783301537.320,1117679,59.00,60.34
1783301538.321,1117679,56.00,60.34
1783301539.322,1117679,55.00,60.34
1783301540.322,1117679,60.00,60.34
1783301541.323,1117679,56.00,60.34
1783301542.323,1117679,56.00,60.34
1783301543.324,1117679,56.00,60.34
1783301544.325,1117679,59.00,60.34
1783301545.325,1117679,56.00,60.34
1783301546.326,1117679,56.00,60.34
1783301547.327,1117679,54.00,60.34
1783301548.327,1117679,60.00,60.34
1783301549.328,1117679,53.00,60.34
1783301550.328,1117679,57.00,60.34
1783301551.329,1117679,54.00,60.34
1783301552.330,1117679,59.00,60.34
1783301553.331,1117679,55.00,60.34
1783301554.331,1117679,55.00,60.34
1783301555.332,1117679,57.00,60.34
1783301556.333,1117679,54.00,60.34
1783301557.333,1117679,55.00,60.34
1783301558.334,1117679,53.00,60.34
1783301559.335,1117679,60.00,60.34
1783301560.335,1117679,54.00,60.34
1783301561.336,1117679,55.00,60.34
1783301562.336,1117679,55.00,60.34
1783301563.337,1117679,58.00,60.34
1783301564.338,1117679,56.00,60.34
1783301565.338,1117679,54.00,60.34
1783301566.339,1117679,55.00,60.34
1783301567.340,1117679,60.00,60.34
1783301568.341,1117679,54.00,60.34
1783301569.341,1117679,54.00,60.34
1783301570.342,1117679,56.00,60.34
1783301571.343,1117679,61.00,60.35
1783301572.343,1117679,53.00,60.35
1783301573.344,1117679,55.00,60.35
1783301574.344,1117679,56.00,60.35
1783301575.345,1117679,58.00,60.35
1783301576.345,1117679,54.00,60.35
1783301577.346,1117679,55.00,60.35
1783301578.347,1117679,60.00,60.35
1783301579.347,1117679,55.00,60.35
1783301580.348,1117679,55.00,60.35
1783301581.348,1117679,54.00,60.35
1783301582.349,1117679,60.00,60.35
1783301583.350,1117679,55.00,60.35
1783301584.350,1117679,55.00,60.35
1783301585.351,1117679,55.00,60.35
1783301586.351,1117679,60.00,60.35
1783301587.352,1117679,55.00,60.35
1783301588.353,1117679,55.00,60.35
1783301589.353,1117679,55.00,60.35
1783301590.354,1117679,60.00,60.35
1783301591.355,1117679,55.00,60.35
1783301592.355,1117679,56.00,60.35
1783301593.356,1117679,55.00,60.35
