caching,access_pattern,payload_weight,entropy,network,density,concurrency,page_size,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,uniform,heavy,high,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.008529,33.6096745,4.167405915643777e-09
off,uniform,heavy,low,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,27.824972,33.58212675,4.167405915643777e-09
off,uniform,heavy,medium,constrained,medium,1,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,31.255774000000002,37.51329775,4.167405915643777e-09
off,uniform,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,60,60,0.0,3.5565709749847226e-21,0.0,-1.0,large,27.972106500000002,33.9947795,5.334856462477084e-19
off,uniform,heavy,medium,constrained,medium,50,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,27.935204499999998,34.88196225,4.167405915643777e-09
off,uniform,heavy,medium,constrained,medium,100,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.3086945,38.134751,4.167405915643777e-09
off,uniform,heavy,medium,lan,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.663951750000001,13.4600185,4.167405915643777e-09
off,uniform,light,high,constrained,medium,1,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,31.44556525,37.5659935,4.167405915643777e-09
off,uniform,light,high,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.0733745,34.21030025,4.167405915643777e-09
off,uniform,light,high,constrained,medium,50,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.283863500000002,34.787386999999995,4.167405915643777e-09
off,uniform,light,low,constrained,medium,1,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,31.47945875,39.6847805,4.167405915643777e-09
off,uniform,light,low,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.3540025,36.124592750000005,4.167405915643777e-09
off,uniform,light,low,constrained,medium,50,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.518507,37.56310125,4.167405915643777e-09
off,uniform,light,medium,constrained,high,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.609211000000002,37.8186755,4.167405915643777e-09
off,uniform,light,medium,constrained,low,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,27.8991855,32.780867,4.167405915643777e-09
off,uniform,light,medium,constrained,medium,1,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,31.542244500000002,38.105636000000004,4.167405915643777e-09
off,uniform,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,60,60,0.0,3.5565709749847226e-21,0.0,-1.0,large,28.388739,34.428698999999995,5.334856462477084e-19
off,uniform,light,medium,constrained,medium,10,1,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.505807500000003,36.75214975,4.167405915643777e-09
off,uniform,light,medium,constrained,medium,10,5,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,31.01620425,80.28056624999999,4.167405915643777e-09
