run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes,source_session,page_size,page_latency_med
c5c339dc42d4,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,phase2-core-real,1782443574.754,1782443665.63,32.040329,42.15841735,45.63757769,9.999879084462073,688.0,0.3655555555555556,1,0,0,,,,,900,0,,phase2-core-real,0,
72d28652a91b,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,1,phase2-core-real,1782443665.634,1782443756.557,32.267022,42.703595,47.15381,10.008127782184442,685.0,0.3473917869034406,1,0,0,,,,,901,0,,phase2-core-real,0,
81a1066e99bd,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,2,phase2-core-real,1782443756.561,1782443847.468,31.942735,42.660626,46.912493,10.008279619127478,690.0,0.3773584905660377,1,0,0,,,,,901,0,,phase2-core-real,0,
0843635d230e,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,3,phase2-core-real,1782443847.472,1782443938.406,32.560933,43.187955,47.404851,10.00687767549261,690.0,0.3429522752497225,1,0,0,,,,,901,0,,phase2-core-real,0,
ee4d27a5eecb,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,4,phase2-core-real,1782443938.414,1782444029.334,31.8871225,43.23487915,46.75997128,9.99992641165264,687.0,0.3722222222222222,1,0,0,,,,,900,0,,phase2-core-real,0,
9dc1faad8c77,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,5,phase2-core-real,1782444029.339,1782444120.312,31.310162,41.907212,46.836285,10.006349073132322,687.0,0.4084350721420643,1,0,0,,,,,901,0,,phase2-core-real,0,
8963bf6e9b2f,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,6,phase2-core-real,1782444120.318,1782444211.238,32.037512,42.248848,45.768386,10.007684115345528,689.0,0.3817980022197558,1,0,0,,,,,901,0,,phase2-core-real,0,
d658bebbc359,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,7,phase2-core-real,1782444211.244,1782444302.169,32.330352500000004,42.61719515,47.97448131,9.999949814585191,685.0,0.3788888888888889,1,0,0,,,,,900,0,,phase2-core-real,0,
4e4c2a5f2521,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,8,phase2-core-real,1782444302.175,1782444393.121,32.520229,43.18401165,48.82602298999999,9.99985366314148,687.0,0.3222222222222222,1,0,0,,,,,900,0,,phase2-core-real,0,
64973b9fc034,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,9,phase2-core-real,1782444393.128,1782444484.042,32.208767,42.90647445,46.41684329,9.99987381492562,690.0,0.3788888888888889,1,0,0,,,,,900,0,,phase2-core-real,0,
5056bc5dabb7,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,10,phase2-core-real,1782444484.05,1782444574.973,32.731264,43.56325395,48.66143603999999,9.99992623254417,690.0,0.3511111111111111,1,0,0,,,,,900,0,,phase2-core-real,0,
cdfcea07b940,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,11,phase2-core-real,1782444574.983,1782444665.963,31.992058,42.786926,46.361543,10.007570253731028,690.0,0.3806881243063263,1,0,0,,,,,901,0,,phase2-core-real,0,
