run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,page_size,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,page_latency_med,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
60543d94af88,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,0,phase2-concurrency100-drillin,1782735524.735,1782735618.356,30.0645965,42.3923294,53.36351057000002,99.98452787423719,687,0.6271111111111111,1,,0,0,34.840425531914896,44.349999999999994,59.32063829787234,59.34,9000,0,
10ac9fcf8d1c,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,1,phase2-concurrency100-drillin,1782735618.359,1782735711.976,30.113654,42.369658,53.420917,99.96412396539672,687,0.6241528719031219,1,,0,0,35.39784946236559,45.0,59.34,59.34,9001,0,
dcdcb55746a6,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,2,phase2-concurrency100-drillin,1782735711.980,1782735805.611,30.286837,42.359971,54.070147,99.98762687387165,690,0.6163759582268636,1,,0,0,35.648936170212764,45.0,59.34,59.34,9001,0,
942e52fdd732,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,3,phase2-concurrency100-drillin,1782735805.615,1782735899.233,30.248648,42.433533,52.22404,99.97781136817497,690,0.6174869458949006,1,,0,0,35.86989247311828,46.0,59.34,59.34,9001,0,
49d5f103df00,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,4,phase2-concurrency100-drillin,1782735899.238,1782735992.862,30.317849,42.60077295,54.05182930000002,99.97799996885652,687,0.623,1,,0,0,35.297872340425535,43.349999999999994,59.34,59.34,9000,0,
eb82426218c1,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,5,phase2-concurrency100-drillin,1782735992.867,1782736086.500,30.123318,42.038002,52.358787,99.96961260081777,690,0.6260415509387846,1,,0,0,34.71935483870968,42.80000000000001,59.34,59.34,9001,0,
14e06d22f37d,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,6,phase2-concurrency100-drillin,1782736086.506,1782736180.184,30.480691,42.43954285,52.033069680000004,99.96750108744897,686,0.6143333333333333,1,,0,0,35.712765957446805,44.349999999999994,59.34,59.34,9000,0,
5c4eaf0ee7a0,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,7,phase2-concurrency100-drillin,1782736180.193,1782736273.995,30.154071,41.814654,51.09068,99.97340632420051,690,0.6289301188756805,1,,0,0,34.638297872340424,44.0,59.34,59.34,9001,0,
0274b5fbe91b,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,8,phase2-concurrency100-drillin,1782736274.002,1782736367.612,30.2773655,42.259193049999986,51.18625531000001,99.98173237211644,687,0.6283333333333333,1,,0,0,34.473118279569896,44.0,59.34,59.34,9000,0,
88e132d7dc85,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,100,0,9,phase2-concurrency100-drillin,1782736367.622,1782736461.467,30.189696,42.055403,52.044583,99.98014861770334,690,0.6264859460059994,1,,0,0,35.09574468085106,44.0,59.34,59.34,9001,0,
