caching,access_pattern,payload_weight,entropy,network,density,concurrency,page_size,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,uniform,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.020073,33.773504,3.6238312309945887e-10
off,uniform,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.3186375,34.25756425,3.6238312309945887e-10
off,unique,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,27.813982,33.7706815,3.6238312309945887e-10
off,unique,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.326441,34.325509249999996,3.6238312309945887e-10
off,zipfian,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.2046715,34.173280250000005,3.6238312309945887e-10
off,zipfian,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.24099725,34.85480175,3.6238312309945887e-10
on,uniform,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.9120295,34.85116275,3.6238312309945887e-10
on,uniform,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.101622,34.91430125,3.6238312309945887e-10
on,unique,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.892754,35.062965000000005,3.6238312309945887e-10
on,unique,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.23777775,35.37360525,3.6238312309945887e-10
on,zipfian,heavy,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,27.9581435,31.86465875,3.6238312309945887e-10
on,zipfian,light,medium,constrained,medium,10,0,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.069729000000002,31.85523375,3.6238312309945887e-10
off,uniform,heavy,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.225199,42.625506,3.6238312309945887e-10
off,uniform,light,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.584165,43.48220847499999,3.6238312309945887e-10
off,unique,heavy,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.0321385,42.465243325,3.6238312309945887e-10
off,unique,light,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.432672,43.498287000000005,3.6238312309945887e-10
off,zipfian,heavy,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.382178749999994,43.250883,3.6238312309945887e-10
off,zipfian,light,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.65321575,44.20739675,3.6238312309945887e-10
on,uniform,heavy,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.08946915,44.0985784,3.6238312309945887e-10
on,uniform,light,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.210269275,44.438848500000006,3.6238312309945887e-10
on,unique,heavy,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.9551328,43.68316969999999,3.6238312309945887e-10
on,unique,light,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.41756344999999,44.947227999999996,3.6238312309945887e-10
on,zipfian,heavy,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.365002000000004,42.523614,3.6238312309945887e-10
on,zipfian,light,medium,constrained,medium,10,0,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.790641475,43.250461,3.6238312309945887e-10
off,uniform,heavy,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.5348635,48.14849085499999,3.6238312309945887e-10
off,uniform,light,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.99320055999999,48.5255605,3.6238312309945887e-10
off,unique,heavy,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.296721500000004,47.305375505,3.6238312309945887e-10
off,unique,light,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.997434999999996,48.34225651499999,3.6238312309945887e-10
off,zipfian,heavy,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.5213715,48.40602678,3.6238312309945887e-10
off,zipfian,light,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.140636965,49.190220145,3.6238312309945887e-10
on,uniform,heavy,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.4025945,48.91506678,3.6238312309945887e-10
on,uniform,light,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.688067000000004,49.36373298499999,3.6238312309945887e-10
