run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,page_size,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,page_latency_med,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
cca2f8b6e893,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,0,phase2-core-cpu-rerun,1782622998.056,1782623089.235,32.560311999999996,43.351255,49.15763409,9.999853165822726,690,0.36777777777777776,1,,0,0,6.793478260869565,10.0,59.41532608695652,59.42,900,0,
ef78f3ba5e9a,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,1,phase2-core-cpu-rerun,1782623089.239,1782623180.399,32.541689500000004,43.66567505,48.84178214999998,9.999884734106415,690,0.3711111111111111,1,,0,0,6.967032967032967,10.0,59.42956043956044,59.43,900,0,
4ee1583ca6b3,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,2,phase2-core-cpu-rerun,1782623180.403,1782623271.543,32.411953,44.646767,50.050824,10.008390340872563,686,0.3706992230854606,1,,0,0,7.065934065934066,11.0,59.43164835164835,59.44,901,0,
53b862c21579,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,3,phase2-core-cpu-rerun,1782623271.548,1782623362.727,32.093137999999996,43.619617049999995,49.93334546,9.999940304467469,685,0.3522222222222222,1,,0,0,7.142857142857143,10.0,59.44043956043956,59.44,900,0,
1ae52453de06,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,4,phase2-core-cpu-rerun,1782623362.731,1782623453.927,33.0842035,45.65901695,54.490101429999996,9.999846420914245,690,0.34555555555555556,1,,0,0,7.4945054945054945,12.5,59.45,59.45,900,0,
033565966c99,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,5,phase2-core-cpu-rerun,1782623453.932,1782623545.182,31.532782,43.136735,47.98176,10.007852074432371,685,0.3795782463928968,1,,0,0,6.769230769230769,10.0,59.45,59.45,901,0,
a87c316878c4,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,6,phase2-core-cpu-rerun,1782623545.188,1782623636.387,31.913866,44.164257,48.392517,10.006261638891367,690,0.3706992230854606,1,,0,0,6.857142857142857,9.5,59.45791208791209,59.46,901,0,
4ee91c7b1c98,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,7,phase2-core-cpu-rerun,1782623636.393,1782623727.554,31.699126,43.281375,48.606779,10.006934969976847,690,0.3873473917869034,1,,0,0,6.538461538461538,9.0,59.46,59.46,901,0,
2587eb5b1f3b,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,8,phase2-core-cpu-rerun,1782623727.560,1782623818.765,32.016925,43.253259,47.96291,10.00727020227692,687,0.36958934517203107,1,,0,0,6.608695652173913,10.0,59.46,59.46,901,0,
8ed33a587a27,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,9,phase2-core-cpu-rerun,1782623818.772,1782623909.994,32.519852,43.450083,50.602241,10.008165849795068,690,0.3407325194228635,1,,0,0,7.021978021978022,9.0,59.46,59.46,901,0,
2eed4395f3c4,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,10,phase2-core-cpu-rerun,1782623910.002,1782624001.163,32.045062,42.73243,46.501079,10.008687572694267,690,0.3851276359600444,1,,0,0,6.8791208791208796,10.5,59.46,59.46,901,0,
865d3be2448a,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,11,phase2-core-cpu-rerun,1782624001.172,1782624092.375,31.997354,43.07808,47.189399,10.006802556851666,687,0.38623751387347394,1,,0,0,6.604395604395604,9.5,59.46,59.46,901,0,
587c1f30e257,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,12,phase2-core-cpu-rerun,1782624092.385,1782624183.588,32.342652,43.982938,48.854384,10.008678642778145,690,0.365149833518313,1,,0,0,6.824175824175824,9.5,59.46,59.46,901,0,
384d63bb75d1,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,13,phase2-core-cpu-rerun,1782624183.597,1782624274.789,31.8099685,43.1613407,50.65232724,9.999935838633892,686,0.3711111111111111,1,,0,0,6.615384615384615,9.0,59.46,59.46,900,0,
d86e762459bf,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,14,phase2-core-cpu-rerun,1782624274.798,1782624365.909,32.323079500000006,44.2127734,50.1882322,9.999939639808781,687,0.37555555555555553,1,,0,0,6.978021978021978,9.5,59.466483516483514,59.47,900,0,
32b2dc370d96,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,15,phase2-core-cpu-rerun,1782624365.920,1782624457.114,32.08348,43.648651,48.065028,10.006365327630528,685,0.35405105438401774,1,,0,0,6.782608695652174,9.0,59.47271739130434,59.48,901,0,
c5b47f76c877,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,16,phase2-core-cpu-rerun,1782624457.125,1782624548.264,32.105175,43.083237,49.329595,10.006794118419862,687,0.36293007769145397,1,,0,0,6.802197802197802,9.5,59.48,59.48,901,0,
866e4e79f435,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,17,phase2-core-cpu-rerun,1782624548.276,1782624639.390,32.051381,42.91762675,47.21721384,9.9999209757356,686,0.37777777777777777,1,,0,0,6.713186813186813,9.0,59.48714285714286,59.51,900,0,
81bd582141d9,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,18,phase2-core-cpu-rerun,1782624639.402,1782624730.614,31.785456,43.162681,48.845895,10.007391890267892,689,0.3706992230854606,1,,0,0,6.615384615384615,10.0,59.51,59.51,901,0,
a7186181f8a5,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,19,phase2-core-cpu-rerun,1782624730.626,1782624821.728,31.447015999999998,43.14144339999999,49.55444074999999,9.999848380854427,690,0.39666666666666667,1,,0,0,6.681318681318682,10.0,59.51,59.51,900,0,
3c4e8b7eee12,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,20,phase2-core-cpu-rerun,1782624821.741,1782624913.244,31.649956000000003,43.246823,48.17067311,9.999849366713516,687,0.37777777777777777,1,,0,0,6.747252747252747,9.0,59.51,59.51,900,0,
c6b290afb50f,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,21,phase2-core-cpu-rerun,1782624913.258,1782625004.405,32.281806,44.316316,49.472589,10.007471585838795,690,0.34850166481687017,1,,0,0,7.184782608695652,10.0,59.51,59.51,901,0,
