run_uid,block_id,block_order,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,page_size,run_index,is_warmup
47119b0fd6ef,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,0,1
cca2f8b6e893,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,0,0
ef78f3ba5e9a,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,1,0
4ee1583ca6b3,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,2,0
53b862c21579,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,3,0
1ae52453de06,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,4,0
033565966c99,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,5,0
a87c316878c4,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,6,0
4ee91c7b1c98,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,7,0
2587eb5b1f3b,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,8,0
8ed33a587a27,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,9,0
2eed4395f3c4,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,10,0
865d3be2448a,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,11,0
587c1f30e257,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,12,0
384d63bb75d1,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,13,0
d86e762459bf,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,14,0
32b2dc370d96,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,15,0
c5b47f76c877,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,16,0
866e4e79f435,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,17,0
81bd582141d9,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,18,0
a7186181f8a5,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,19,0
3c4e8b7eee12,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,20,0
c6b290afb50f,B0015,0,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,21,0
