caching,access_pattern,payload_weight,entropy,network,density,concurrency,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,uniform,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.03200375,33.953779499999996,3.6238312309945887e-10
off,uniform,light,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.50130925,34.2876665,3.6238312309945887e-10
off,unique,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.003345,33.835706,3.6238312309945887e-10
off,unique,light,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.3591745,34.4269365,3.6238312309945887e-10
off,zipfian,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.242290750000002,34.229440499999995,3.6238312309945887e-10
off,zipfian,light,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.45056225,34.910969,3.6238312309945887e-10
on,uniform,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.02346225,34.86281925,3.6238312309945887e-10
on,uniform,light,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.176643249999998,35.161482500000005,3.6238312309945887e-10
on,unique,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.941325,34.906560999999996,3.6238312309945887e-10
on,unique,light,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,29.374059000000003,35.292753,3.6238312309945887e-10
on,zipfian,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,27.9720225,32.0143975,3.6238312309945887e-10
on,zipfian,light,medium,constrained,medium,10,lat_p50,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,28.039049,31.8221445,3.6238312309945887e-10
off,uniform,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.24520344999999,42.59422495,3.6238312309945887e-10
off,uniform,light,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.5603655,43.72407105,3.6238312309945887e-10
off,unique,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.130366800000004,42.5409785,3.6238312309945887e-10
off,unique,light,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.656793,43.607418499999994,3.6238312309945887e-10
off,zipfian,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.41532065,42.9353107,3.6238312309945887e-10
off,zipfian,light,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.663205024999996,43.99835,3.6238312309945887e-10
on,uniform,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.14894525,43.734784000000005,3.6238312309945887e-10
on,uniform,light,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.491807449999996,44.47784525,3.6238312309945887e-10
on,unique,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.152746675,43.6732825,3.6238312309945887e-10
on,unique,light,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,37.692443999999995,44.7164075,3.6238312309945887e-10
on,zipfian,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.524665525,42.646669525,3.6238312309945887e-10
on,zipfian,light,medium,constrained,medium,10,lat_p95,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,36.750071000000005,43.4916115,3.6238312309945887e-10
off,uniform,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.445461,47.64110724,3.6238312309945887e-10
off,uniform,light,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.970398849999995,48.88718064,3.6238312309945887e-10
off,unique,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.455387189999996,47.09685597,3.6238312309945887e-10
off,unique,light,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.06240418499999,48.40503177,3.6238312309945887e-10
off,zipfian,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.62058052,47.723977000000005,3.6238312309945887e-10
off,zipfian,light,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.249645494999996,48.814785629999996,3.6238312309945887e-10
on,uniform,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.401047765,48.227573845,3.6238312309945887e-10
on,uniform,light,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.7053515,49.0144155,3.6238312309945887e-10
on,unique,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.4417695,48.275109625,3.6238312309945887e-10
on,unique,light,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,41.164983395,49.1458685,3.6238312309945887e-10
on,zipfian,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.0158735,46.899498019999996,3.6238312309945887e-10
on,zipfian,light,medium,constrained,medium,10,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.299025889999996,48.09162125500001,3.6238312309945887e-10
off,uniform,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,675.0,0.0009030694895713402,0.75,0.5,large,10.007636725303971,10.0064411863111,0.010836833874856082
off,uniform,light,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,545.0,0.16237502241276747,0.6055555555555555,0.21111111111111103,small,10.006992395602026,10.006397688703322,0.542942165436864
off,unique,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,669.0,0.001236184563209011,0.7433333333333333,0.4866666666666666,large,10.007667853829238,10.003072912401931,0.013598030195299121
off,unique,light,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,554.0,0.12597019317097233,0.6155555555555556,0.23111111111111127,small,10.007389001354314,10.006414379668902,0.542942165436864
off,zipfian,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,617.0,0.013831619802975413,0.6855555555555557,0.3711111111111114,medium,10.007470629518874,10.00664390135358,0.13831619802975414
off,zipfian,light,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,559.0,0.10868977321444741,0.6211111111111111,0.24222222222222212,small,10.007190757572271,10.006257361791677,0.542942165436864
on,uniform,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,565.0,0.090490360906144,0.6277777777777779,0.25555555555555576,small,10.007231059288216,10.006564474833736,0.542942165436864
on,uniform,light,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,565.0,0.090490360906144,0.6277777777777779,0.25555555555555576,small,10.007391197458915,10.006471571034936,0.542942165436864
on,unique,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,617.0,0.013831619802975413,0.6855555555555557,0.3711111111111114,medium,10.007486124252038,10.00623852472447,0.13831619802975414
on,unique,light,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,596.0,0.03146563257725609,0.6622222222222223,0.32444444444444454,small,10.00715896440284,10.006016117599277,0.22025942804079263
on,zipfian,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,604.0,0.02324344705367121,0.6711111111111111,0.3422222222222222,medium,10.007534503390165,10.006069203844216,0.18594757642936968
on,zipfian,light,medium,constrained,medium,10,throughput_rps,rest,graphql,30,30,554.0,0.12597019317097233,0.6155555555555556,0.23111111111111127,small,10.007478920982233,10.006377706273023,0.542942165436864
off,uniform,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,900.0,2.95425994015416e-11,1.0,1.0,large,654.5,500.0,2.637204704799276e-10
off,uniform,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,881.0,1.9522757263405565e-10,0.9788888888888889,0.9577777777777778,large,1543.75,1147.0,9.761378631702784e-10
off,unique,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,900.0,2.971003012292459e-11,1.0,1.0,large,653.0,499.0,2.637204704799276e-10
off,unique,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,538.0,0.19577212552776813,0.5977777777777776,0.19555555555555526,small,1438.25,1028.0,0.3714725934867138
off,zipfian,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,900.0,1.898034824610977e-11,1.0,1.0,large,853.25,688.75,2.044706829139959e-10
off,zipfian,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,9.0,1.7039223576166323e-11,0.010000000000000024,-0.98,large,1767.0,2049.0,2.044706829139959e-10
on,uniform,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,900.0,2.965412393895094e-11,1.0,1.0,large,652.0,503.0,2.637204704799276e-10
on,uniform,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,865.0,8.876732455529493e-10,0.9611111111111111,0.9222222222222223,large,1495.0,1266.0,3.5506929822117973e-09
on,unique,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,900.0,2.930227449776973e-11,1.0,1.0,large,653.0,503.25,2.637204704799276e-10
on,unique,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,540.0,0.1857362967433569,0.6,0.19999999999999996,small,1376.5,888.0,0.3714725934867138
on,zipfian,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,900.0,1.7442343378657143e-11,1.0,1.0,large,854.0,688.0,2.044706829139959e-10
on,zipfian,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,30,30,60.0,3.35894260689835e-09,0.06666666666666667,-0.8666666666666667,large,1774.0,2049.0,1.007682782069505e-08
off,uniform,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,uniform,light,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
off,unique,heavy,medium,constrained,medium,10,cache_hit_rate,rest,graphql,0,0,,,,,insufficient_n,,,
