run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
f10c48f0b077,B0015,graphql,on,zipfian,medium,light,constrained,high,10,0,phase2-density-drillin,1782541017.396,1782541108.233,31.892396,46.646984,51.975131,10.007215622967138,4072,0.49500554938956715,1,0,0,7.417582417582418,10.5,59.30571428571428,59.405,901,0,
28928a9f986f,B0015,graphql,on,zipfian,medium,light,constrained,high,10,1,phase2-density-drillin,1782541108.236,1782541199.029,32.139615500000005,47.307518,53.39520546,9.999871169770856,4072,0.4711111111111111,1,0,0,7.274725274725275,11.0,59.42,59.42,900,0,
9425e4d62f26,B0015,graphql,on,zipfian,medium,light,constrained,high,10,2,phase2-density-drillin,1782541199.032,1782541289.876,32.86621,47.247527,52.831729,10.00787404101204,4072,0.4528301886792453,1,0,0,7.736263736263736,11.5,59.42,59.42,901,0,
ee761ed649dd,B0015,graphql,on,zipfian,medium,light,constrained,high,10,3,phase2-density-drillin,1782541289.881,1782541380.717,32.607797,46.894756,53.912277,10.007375886193435,4072,0.47835738068812433,1,0,0,7.266666666666667,11.549999999999997,59.42,59.42,901,0,
8b53f8e8e800,B0015,graphql,on,zipfian,medium,light,constrained,high,10,4,phase2-density-drillin,1782541380.721,1782541471.565,32.3047385,45.92940325,54.855916109999995,9.999871166104283,4072,0.49444444444444446,1,0,0,7.263736263736264,10.0,59.42,59.42,900,0,
b769c89878b8,B0015,graphql,on,zipfian,medium,light,constrained,high,10,5,phase2-density-drillin,1782541471.570,1782541562.409,31.413764,45.937768,51.688283,10.007638499136917,4070,0.5149833518312985,1,0,0,7.1098901098901095,10.5,59.42,59.42,901,0,
29fd5c7a7515,B0015,graphql,on,zipfian,medium,light,constrained,high,10,6,phase2-density-drillin,1782541562.415,1782541653.255,32.329216,47.12834699999999,53.09832316999999,9.999854340121711,4072,0.48444444444444446,1,0,0,7.230769230769231,11.5,59.42,59.42,900,0,
a99a1597dc2f,B0015,graphql,on,zipfian,medium,light,constrained,high,10,7,phase2-density-drillin,1782541653.261,1782541744.102,32.184234,47.693107,54.619013,10.007519875575937,4065,0.46503884572697,1,0,0,7.522222222222222,10.549999999999997,59.42,59.42,901,0,
b989888be5f6,B0015,graphql,on,zipfian,medium,light,constrained,high,10,8,phase2-density-drillin,1782541744.110,1782541834.993,32.301462,46.704707,51.299724,10.006813087490386,4072,0.4716981132075472,1,0,0,7.4945054945054945,11.0,59.42,59.42,901,0,
cfeb6bb41bf7,B0015,graphql,on,zipfian,medium,light,constrained,high,10,9,phase2-density-drillin,1782541835.000,1782541925.886,31.639263,46.831314,51.421403,10.005936869720726,4072,0.5205327413984462,1,0,0,7.0,10.0,59.42,59.42,901,0,
ac1e60ff6630,B0015,graphql,on,zipfian,medium,light,constrained,high,10,10,phase2-density-drillin,1782541925.894,1782542016.787,32.605478,47.874126,54.177216,10.00618931951907,4072,0.4827968923418424,1,0,0,7.593406593406593,12.0,59.42,59.42,901,0,
