run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,page_size,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,page_latency_med,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
3d2b93062c5a,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,0,phase2-entropy-concurrency-interaction,1782623338.979,1782623431.361,28.327256,43.139214,49.939462,49.994673190864305,3950,0.7836036436347479,1,,0,0,17.579347826086956,24.900000000000006,59.46880434782609,59.47,4501,0,
574ad98899f2,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,1,phase2-entropy-concurrency-interaction,1782623431.364,1782623523.647,28.206744,42.634777,48.700316,49.994986312056355,3950,0.7873805820928682,1,,0,0,16.97717391304348,24.450000000000003,59.47,59.47,4501,0,
ef7772574681,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,2,phase2-entropy-concurrency-interaction,1782623523.651,1782623615.965,28.3561175,42.30099995,48.31430155000002,49.99076513485866,3950,0.7846666666666666,1,,0,0,16.48913043478261,24.0,59.47,59.47,4500,0,
68f165906ec6,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,3,phase2-entropy-concurrency-interaction,1782623615.969,1782623708.329,28.389679,42.343337,48.96623,49.99027679842358,3950,0.7831592979337925,1,,0,0,16.565217391304348,25.0,59.47,59.47,4501,0,
536966976164,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,4,phase2-entropy-concurrency-interaction,1782623708.333,1782623800.614,27.983688,42.083977,48.176689,49.99301620999508,3950,0.7920462119528994,1,,0,0,16.118279569892472,23.0,59.47,59.47,4501,0,
b348a2180729,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,5,phase2-entropy-concurrency-interaction,1782623800.619,1782623892.993,28.183465,41.997092,48.05168,49.99175163809462,3950,0.7836036436347479,1,,0,0,16.717391304347824,24.0,59.477391304347826,59.49,4501,0,
8ec7d8ae280d,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,6,phase2-entropy-concurrency-interaction,1782623892.998,1782623985.402,28.053941,42.17331,47.751086,49.993863762491905,3950,0.7898244834481226,1,,0,0,16.390217391304347,23.450000000000003,59.49,59.49,4501,0,
9efc8f122497,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,7,phase2-entropy-concurrency-interaction,1782623985.409,1782624077.678,28.122961,42.520693,49.033447,49.99635176199095,3951,0.7782714952232838,1,,0,0,17.160869565217393,24.450000000000003,59.49,59.49,4501,0,
bc1ba318549a,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,8,phase2-entropy-concurrency-interaction,1782624077.685,1782624170.083,28.182372,42.323348,47.961741,49.99608122584463,3950,0.7880471006443013,1,,0,0,16.193548387096776,23.400000000000006,59.49,59.49,4501,0,
4c3128a18fda,B0029,graphql,on,zipfian,low,light,constrained,medium,50,0,9,phase2-entropy-concurrency-interaction,1782624170.090,1782624262.457,28.109118,42.251951,48.925329,49.996402953750135,3949,0.7904910019995557,1,,0,0,16.42391304347826,24.450000000000003,59.49,59.49,4501,0,
