run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
3f846aee8c63,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,0,phase2-entropy-drillin,1782538423.233,1782538514.124,30.4606285,40.91069974999999,44.3369066,9.999930177487522,365,0.49666666666666665,1,0,0,4.8901098901098905,7.0,59.4278021978022,59.46,900,0,
3f23c0316315,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,1,phase2-entropy-drillin,1782538514.127,1782538605.061,30.319962,41.758876,45.658113,10.006939948130976,365,0.5083240843507214,1,0,0,4.791208791208791,7.0,59.46,59.46,901,0,
277d802895b9,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,2,phase2-entropy-drillin,1782538605.064,1782538695.985,30.24925,41.781184,46.360096,10.006703998118335,365,0.5283018867924528,1,0,0,4.725274725274725,7.0,59.46,59.46,901,0,
2addef3cede4,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,3,phase2-entropy-drillin,1782538695.989,1782538786.966,30.2471345,41.20035445,45.14593167999999,9.999927528525216,364,0.5111111111111111,1,0,0,4.56043956043956,7.0,59.472747252747254,59.48,900,0,
d69c881bcb9b,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,4,phase2-entropy-drillin,1782538786.970,1782538877.947,29.805801,41.659949,46.56506,10.007638449894184,366,0.5427302996670367,1,0,0,4.428571428571429,7.0,59.48,59.48,901,0,
c2c9d54bea70,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,5,phase2-entropy-drillin,1782538877.952,1782538968.832,30.343446999999998,41.42807655,46.18229471,9.999851878638472,365,0.5155555555555555,1,0,0,4.6,7.0,59.48,59.48,900,0,
e0e096c3c2e7,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,6,phase2-entropy-drillin,1782538968.837,1782539059.770,30.2495315,42.242912499999996,46.14878289,9.999863571639073,365,0.5122222222222222,1,0,0,4.670329670329671,7.0,59.48,59.48,900,0,
f129d89d4f99,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,7,phase2-entropy-drillin,1782539059.776,1782539150.670,29.726613999999998,41.05970645,45.81654467999999,9.999887346713535,365,0.5344444444444445,1,0,0,4.56043956043956,7.0,59.48,59.48,900,0,
f013ff64404c,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,8,phase2-entropy-drillin,1782539150.677,1782539241.616,30.571452999999998,40.683723900000004,44.28950553999999,9.999872806173403,365,0.5022222222222222,1,0,0,4.637362637362638,7.0,59.48692307692308,59.49,900,0,
3f0aa0755f1b,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,9,phase2-entropy-drillin,1782539241.623,1782539332.552,29.904326,40.895339,45.062444,10.007568047398134,364,0.5471698113207547,1,0,0,4.406593406593407,7.5,59.49043956043956,59.49,901,0,
ee1482259916,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,10,phase2-entropy-drillin,1782539332.560,1782539423.541,29.802817,40.9335406,45.26198847999999,9.99985754725153,365,0.5377777777777778,1,0,0,4.5054945054945055,6.0,59.5,59.5,900,0,
fcf2def5f5ce,B0029,graphql,on,zipfian,low,heavy,constrained,medium,10,11,phase2-entropy-drillin,1782539423.549,1782539514.541,30.016485,41.539263,45.758937,10.006632432626608,364,0.537180910099889,1,0,0,4.450549450549451,7.0,59.5,59.5,901,0,
