run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,page_size,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,page_latency_med,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
160f1e96e80a,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,0,phase2-network-concurrency-interaction,1782623934.989,1782624029.997,6.4444925,17.738520000000005,21.68370106000004,49.99927669435246,2049,0.6286666666666667,1,,0,0,19.83157894736842,27.299999999999997,59.29715789473684,59.3,4500,0,
efdf0aa9f2f1,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,1,phase2-network-concurrency-interaction,1782624030.000,1782624122.360,6.371208,17.810951,22.816043,50.008477314080764,2049,0.6398578093756943,1,,0,0,20.466304347826085,27.450000000000003,59.31434782608696,59.34,4501,0,
7176ec2910e6,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,2,phase2-network-concurrency-interaction,1782624122.363,1782624214.667,6.443377,18.013135,23.805783,50.006812023258945,2049,0.6223061541879582,1,,0,0,21.27173913043478,27.450000000000003,59.34,59.34,4501,0,
a3edd7619c7e,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,3,phase2-network-concurrency-interaction,1782624214.671,1782624306.939,6.491894,17.86454,21.647095,50.00715145040132,2069,0.6180848700288825,1,,0,0,21.141304347826086,28.450000000000003,59.34,59.34,4501,0,
57dac787daf5,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,4,phase2-network-concurrency-interaction,1782624306.947,1782624399.262,6.460252,18.050663,22.901793,50.007075844577976,2049,0.6309708953565875,1,,0,0,20.80537634408602,27.400000000000006,59.34,59.34,4501,0,
404e94ff7ceb,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,5,phase2-network-concurrency-interaction,1782624399.267,1782624491.586,6.498632,18.03101,22.737232,50.00633491382959,2049,0.6227504998889136,1,,0,0,21.358695652173914,28.450000000000003,59.34,59.34,4501,0,
2a3f8ab1b86f,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,6,phase2-network-concurrency-interaction,1782624491.592,1782624583.793,6.468891,18.000528,22.371719,50.00673356221609,2049,0.6209731170850922,1,,0,0,21.33695652173913,29.0,59.34,59.34,4501,0,
6532c224fd8d,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,7,phase2-network-concurrency-interaction,1782624583.800,1782624676.320,6.3969450000000005,18.053525550000003,22.163997880000014,49.999236036672976,2049,0.626,1,,0,0,20.80537634408602,28.400000000000006,59.34,59.34,4500,0,
b3a081ccebe2,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,8,phase2-network-concurrency-interaction,1782624676.327,1782624768.695,6.407499,17.825624,21.820173,50.00080509294551,2049,0.6340813152632748,1,,0,0,20.619565217391305,27.0,59.34,59.34,4501,0,
c883e37069e0,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,9,phase2-network-concurrency-interaction,1782624768.702,1782624860.957,6.396718,18.093681,23.777214,50.008099483337546,2049,0.6398578093756943,1,,0,0,20.97826086956522,29.0,59.34,59.34,4501,0,
45a994017e01,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,10,phase2-network-concurrency-interaction,1782624860.964,1782624953.322,6.466778,18.480237,23.84365,50.007462917780146,2049,0.6149744501221951,1,,0,0,21.782608695652176,29.0,59.34,59.34,4501,0,
96483021dec9,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,11,phase2-network-concurrency-interaction,1782624953.330,1782625045.646,6.447897,18.396987,23.921478,50.007257182374566,2049,0.6225283270384359,1,,0,0,21.418279569892473,29.400000000000006,59.34,59.34,4501,0,
dfd8e397acab,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,12,phase2-network-concurrency-interaction,1782625045.655,1782625138.016,6.455301,18.29886395,21.92559419000002,49.99941380076156,2049,0.6208888888888889,1,,0,0,21.75,30.0,59.34,59.34,4500,0,
1ed2b46006c0,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,13,phase2-network-concurrency-interaction,1782625138.025,1782625230.292,6.401056,18.348689500000003,23.86903249000005,49.9994442961762,2049,0.6233333333333333,1,,0,0,22.119565217391305,29.450000000000003,59.34163043478261,59.35000000000001,4500,0,
d2c5bfe4f067,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,14,phase2-network-concurrency-interaction,1782625230.302,1782625322.612,6.467486,18.44850725,25.83533967000014,49.99928659184584,2049,0.62,1,,0,0,21.322580645161292,29.400000000000006,59.35494623655914,59.36,4500,0,
14a55e6d7a85,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,15,phase2-network-concurrency-interaction,1782625322.622,1782625414.899,6.513057,18.187437,23.747718,50.001242026519456,2049,0.6180848700288825,1,,0,0,21.608695652173914,29.0,59.36,59.36,4501,0,
e659c42afdb9,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,16,phase2-network-concurrency-interaction,1782625414.911,1782625507.244,6.449217,17.89149465,22.03205019000006,49.99962070009961,2049,0.622,1,,0,0,20.880434782608695,29.450000000000003,59.36,59.36,4500,0,
3a2816428eaf,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,17,phase2-network-concurrency-interaction,1782625507.256,1782625599.719,6.465749,17.98067,22.904018,50.00744697545782,2049,0.6167518329260164,1,,0,0,21.51086956521739,28.0,59.36,59.36,4501,0,
6d613cdb0d72,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,18,phase2-network-concurrency-interaction,1782625599.731,1782625691.936,6.440245,17.8738451,22.668293310000006,49.998998500060445,2049,0.6262222222222222,1,,0,0,21.107526881720432,28.0,59.36,59.36,4500,0,
31c18322083c,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,19,phase2-network-concurrency-interaction,1782625691.950,1782625784.196,6.4528669999999995,17.9020365,22.174251520000006,49.9995681542854,2049,0.6268888888888889,1,,0,0,20.716304347826085,27.450000000000003,59.36,59.36,4500,0,
56849fa0ff18,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,20,phase2-network-concurrency-interaction,1782625784.210,1782625876.765,6.42269,18.299223,22.226009,50.006350834331094,2049,0.6283048211508554,1,,0,0,21.152173913043477,29.450000000000003,59.36,59.36,4501,0,
0b5704149235,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,21,phase2-network-concurrency-interaction,1782625876.779,1782625969.967,6.400472,18.379963,23.29062,50.00716539462871,2049,0.6287491668518107,1,,0,0,20.945744680851064,28.0,59.36,59.36,4501,0,
0875bbf80b9a,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,22,phase2-network-concurrency-interaction,1782625969.982,1782626062.444,6.471072,18.753517,24.016861,50.0077608456184,2156,0.6240835369917797,1,,0,0,22.141304347826086,30.0,59.36,59.36,4501,0,
d75a44d3ba42,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,23,phase2-network-concurrency-interaction,1782626062.458,1782626157.478,6.444789,18.126991,22.524506,50.00935571660197,2049,0.624527882692735,1,,0,0,20.45263157894737,28.0,59.36684210526315,59.37,4501,0,
aefc693d51be,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,24,phase2-network-concurrency-interaction,1782626157.493,1782626249.768,6.424751,18.39818,24.067002,50.00829951726891,2049,0.6289713397022884,1,,0,0,21.619565217391305,30.450000000000003,59.37,59.37,4501,0,
36dfaa14ca90,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,25,phase2-network-concurrency-interaction,1782626249.783,1782626342.163,6.469637,17.924512,22.275574,50.00697330688578,2049,0.6278604754499,1,,0,0,20.640217391304347,29.0,59.37,59.37,4501,0,
3aa157681f2e,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,26,phase2-network-concurrency-interaction,1782626342.179,1782626434.682,6.394156,17.899646,22.309255,50.00578778664377,2049,0.6323039324594535,1,,0,0,20.43010752688172,28.400000000000006,59.37,59.36999999999999,4501,0,
3dae6b34e69e,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,27,phase2-network-concurrency-interaction,1782626434.698,1782626526.982,6.51145,18.227921,22.477323,49.99412776261714,2049,0.6118640302155076,1,,0,0,21.444565217391304,27.900000000000006,59.37,59.37,4501,0,
d46be94edf37,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,28,phase2-network-concurrency-interaction,1782626526.999,1782626619.261,6.508169,17.903902,22.781682,50.00050011331148,2049,0.6254165740946457,1,,0,0,20.847826086956523,27.450000000000003,59.37,59.37,4501,0,
112d051252e9,B0015,graphql,on,zipfian,medium,light,lan,medium,50,0,29,phase2-network-concurrency-interaction,1782626619.280,1782626711.506,6.498811,18.094955950000003,22.521223660000018,49.99952928220932,2049,0.618,1,,0,0,20.97741935483871,27.760000000000012,59.37,59.36999999999999,4500,0,
81738601357b,B0005,rest,on,uniform,medium,light,lan,medium,50,0,0,phase2-network-concurrency-interaction,1782626809.798,1782626902.122,7.7454909999999995,10.28588805,12.319728600000003,49.99910437604313,1494.5,0.25622222222222224,1,,0,0,10.08695652173913,13.450000000000003,48.792065217391304,48.86,4500,0,
3fb980cd094c,B0005,rest,on,uniform,medium,light,lan,medium,50,0,1,phase2-network-concurrency-interaction,1782626902.125,1782626994.350,7.81385,10.298936,12.103564,50.005586326137276,1528,0.2475005554321262,1,,0,0,10.282608695652174,13.900000000000006,48.95608695652174,49.0,4501,0,
5ac69a539580,B0005,rest,on,uniform,medium,light,lan,medium,50,0,2,phase2-network-concurrency-interaction,1782626994.354,1782627086.682,7.806499,10.343734,12.94368,50.0084021848585,1512,0.2466118640302155,1,,0,0,10.33695652173913,13.0,51.91652173913044,52.86,4501,0,
ef578074151e,B0005,rest,on,uniform,medium,light,lan,medium,50,0,3,phase2-network-concurrency-interaction,1782627086.686,1782627178.943,7.673731999999999,10.159068050000002,12.525321580000002,49.99910358718252,1536,0.26222222222222225,1,,0,0,10.0,13.0,52.87760869565218,52.88,4500,0,
e48cb3a642d9,B0005,rest,on,uniform,medium,light,lan,medium,50,0,4,phase2-network-concurrency-interaction,1782627178.947,1782627271.262,7.701066,10.082233,11.677749,50.00746244663309,1515,0.24927793823594757,1,,0,0,10.053260869565218,12.0,52.88,52.88,4501,0,
9db36a55d21a,B0005,rest,on,uniform,medium,light,lan,medium,50,0,5,phase2-network-concurrency-interaction,1782627271.267,1782627363.524,7.762126,10.154651,12.094208,50.00639526967336,1510,0.253721395245501,1,,0,0,10.195652173913043,13.0,53.615869565217395,54.36,4501,0,
b7feeb924652,B0005,rest,on,uniform,medium,light,lan,medium,50,0,6,phase2-network-concurrency-interaction,1782627363.530,1782627455.962,7.70196,10.14837,12.216465,50.00577375151718,1515,0.25727616085314375,1,,0,0,10.16304347826087,12.0,54.40673913043479,54.43,4501,0,
9835651e3f2c,B0005,rest,on,uniform,medium,light,lan,medium,50,0,7,phase2-network-concurrency-interaction,1782627455.968,1782627548.298,7.750752,10.25314715,12.71528557000003,49.99953748372291,1504,0.25244444444444447,1,,0,0,10.21505376344086,12.400000000000006,54.43010752688172,54.42999999999999,4500,0,
d07c06087a8e,B0005,rest,on,uniform,medium,light,lan,medium,50,0,8,phase2-network-concurrency-interaction,1782627548.305,1782627640.574,7.802428000000001,10.26510455,12.30660089000004,49.999136788236285,1494,0.24711111111111111,1,,0,0,10.456521739130435,13.0,54.436521739130434,54.44,4500,0,
