run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,page_size,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,page_latency_med,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,dropped_iterations,notes
dcec3deb4ef4,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,0,phase2-network-drillin,1782623045.203,1782623136.382,13.81554,19.167838049999997,22.72634773999999,9.999913893185889,690,0.33444444444444443,1,,0,0,7.0989010989010985,11.5,59.36164835164835,59.37,900,0,
a00a6cf4021a,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,1,phase2-network-drillin,1782623136.386,1782623227.552,13.618932,19.234328,23.521963,10.009251918702482,690,0.36958934517203107,1,,0,0,6.725274725274725,10.0,59.37120879120879,59.385000000000005,901,0,
70aad9626735,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,2,phase2-network-drillin,1782623227.556,1782623318.667,13.697249,19.080069649999995,25.742855509999995,9.999928827950994,685,0.36444444444444446,1,,0,0,6.923076923076923,10.5,59.39,59.39,900,0,
eeb00aad1c9f,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,3,phase2-network-drillin,1782623318.671,1782623409.901,13.642399,20.616766,28.122968,10.01022322366427,690,0.3729189789123196,1,,0,0,7.185714285714286,11.0,59.393186813186816,59.4,901,0,
bab6fa111209,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,4,phase2-network-drillin,1782623409.906,1782623501.238,13.751003,20.18356424999999,26.160383679999995,9.999858144901204,686,0.3711111111111111,1,,0,0,7.186813186813187,11.0,59.4,59.4,900,0,
46e9d1d0d175,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,5,phase2-network-drillin,1782623501.243,1782623592.403,13.464491,18.599142,22.01425,10.00925270194784,690,0.36958934517203107,1,,0,0,6.6923076923076925,9.0,59.4,59.4,901,0,
1ceda2d6f19d,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,6,phase2-network-drillin,1782623592.408,1782623683.568,13.328596,18.439349,22.489986,10.00955126357014,690,0.37180910099889014,1,,0,0,6.571428571428571,9.0,59.4,59.4,901,0,
4cf62589e9ac,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,7,phase2-network-drillin,1782623683.573,1782623774.727,13.304272000000001,18.423520449999998,22.361946339999996,9.99989690950722,686,0.37222222222222223,1,,0,0,6.521739130434782,9.450000000000003,59.402499999999996,59.41,900,0,
57ef3b55adea,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,8,phase2-network-drillin,1782623774.734,1782623865.934,13.455235,19.126655,23.84568,10.009451714733567,690,0.35738068812430634,1,,0,0,6.923076923076923,10.0,59.41,59.41,901,0,
88ffc8dfe9c1,B0015,graphql,on,zipfian,medium,heavy,lan,medium,10,0,9,phase2-network-drillin,1782623865.942,1782623957.130,13.194539,19.168053,21.447757,10.01044054640177,685,0.3762486126526082,1,,0,0,6.7032967032967035,10.0,59.41,59.41,901,0,
