caching,access_pattern,payload_weight,entropy,network,density,concurrency,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
off,uniform,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,65.39947225,91.047304,
off,uniform,light,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,66.85487900000001,94.52579850000001,
off,unique,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,66.0591355,90.51422525000001,
off,unique,light,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,66.56832675000001,96.15059099999999,
off,zipfian,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,65.75206424999999,92.768434,
off,zipfian,light,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,67.90056799999999,102.00731525,
on,uniform,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,128.94888525,140.44313175000002,
on,uniform,light,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,131.96222525000002,135.70374099999998,
on,unique,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,124.900463,133.01968575,
on,unique,light,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,128.2362875,134.41965,
on,zipfian,heavy,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,93.934708,117.77793,
on,zipfian,light,medium,constrained,medium,10,lat_p50,rest,graphql,2,2,,,,,insufficient_n,73.453375,97.59804825,
off,uniform,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,76.00624764999999,135.23939497499998,
off,uniform,light,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,79.27466342499999,135.66902894999998,
off,unique,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,77.26603245000001,142.618160975,
off,unique,light,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,78.10313599999999,140.76990402499993,
off,zipfian,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,76.8753979,140.72167625,
off,zipfian,light,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,81.728325825,172.11106617500002,
on,uniform,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,142.0621277,183.3688932,
on,uniform,light,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,148.270010325,166.89624754999997,
on,unique,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,140.9490745,165.39126905,
on,unique,light,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,145.73912049999998,177.196016875,
