run_uid,block_id,protocol,caching,access_pattern,entropy,payload_weight,network,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,cache_hit_rate,round_trip_count,error_rate,apq_registrations,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
c5c339dc42d4,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,0,phase2-pilot-1,1782389600.100,1782389606.133,121.88772,151.013885,185.8569636599998,94.82897271048529,690,0.46611909650924027,1,0,0,35.833333333333336,44.75,59.085,59.12,487,
72d28652a91b,B0015,graphql,on,zipfian,medium,heavy,constrained,medium,10,1,phase2-pilot-1,1782389606.135,1782389612.169,113.66814,147.67122774999999,185.09625039999983,96.65409861453836,685,0.4959839357429719,1,0,0,34.5,43.75,59.16166666666666,59.177499999999995,498,
e13db1dc2910,B0005,rest,on,uniform,medium,heavy,constrained,medium,10,0,phase2-pilot-1,1782389619.638,1782389625.621,128.984038,141.92868019999997,150.21136335999998,76.79857215719446,638,0.04071246819338423,1,0,0,15.333333333333334,19.5,59.54833333333333,59.68,393,
959a020fc44a,B0005,rest,on,uniform,medium,heavy,constrained,medium,10,1,phase2-pilot-1,1782389625.623,1782389631.655,128.91373249999998,142.1955752,146.62902749999995,77.68264248699404,775.5,0.06030150753768844,1,0,0,15.0,18.0,61.36,62.0275,398,
78783d55400a,B0018,graphql,off,unique,medium,light,constrained,medium,10,0,phase2-pilot-1,1782389639.620,1782389645.554,95.9158535,138.00289479999986,164.99461817,97.31247652096424,1581.5,,1,0,0,71.10000000000001,89.4,58.45333333333333,58.5125,494,
e89a3dabfcde,B0018,graphql,off,unique,medium,light,constrained,medium,10,1,phase2-pilot-1,1782389645.555,1782389651.490,96.3853285,143.53691325,166.20954665999994,97.63402353275221,1617.5,,1,0,0,71.25,88.9,58.525000000000006,58.53,498,
fe8ad7149541,B0023,graphql,off,uniform,medium,heavy,constrained,medium,10,0,phase2-pilot-1,1782389657.498,1782389663.432,91.759859,134.81128055,161.41395171,103.25893378595704,498,,1,0,0,68.66666666666667,85.25,59.181666666666665,59.21,522,
676a05c23526,B0023,graphql,off,uniform,medium,heavy,constrained,medium,10,1,phase2-pilot-1,1782389663.433,1782389669.469,90.334749,135.6675094,153.39979488,103.16410077383264,495,,1,0,0,71.11666666666667,87.9,59.218333333333334,59.23,529,
9a918a203912,B0013,graphql,on,unique,medium,heavy,constrained,medium,10,0,phase2-pilot-1,1782389677.106,1782389683.139,132.923041,169.1055572,189.62567048,80.78817622326913,608,0.2542372881355932,1,0,0,40.5,52.75,59.52666666666667,59.56,413,
0622d433c153,B0013,graphql,on,unique,medium,heavy,constrained,medium,10,1,phase2-pilot-1,1782389683.141,1782389689.174,133.1163305,161.6769809,182.64067059000007,83.64850482453667,615.5,0.32710280373831774,1,0,0,38.142857142857146,52.7,59.56,59.56,428,
