run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
bal10r00,baseline-low-10-rest,rest,baseline,low,10,0,s2,0,0,15.8457,20.4057,25.9504,643.54,2297,0.012243,0.009795,0,40.38,45,398.42,404.92,38612,
bal10r01,baseline-low-10-rest,rest,baseline,low,10,1,s3,0,0,12.8649,16.3919,21.0694,788.49,3405,0.009835,0.007868,0,41.4,45,395.7,406.84,47309,
bal10r02,baseline-low-10-rest,rest,baseline,low,10,2,s1,0,0,12.6221,17.2358,21.1369,812.71,2754,0.010342,0.008273,0,39.54,45,397.86,403.24,48762,
bal10r03,baseline-low-10-rest,rest,baseline,low,10,3,s3,0,0,16.5083,19.9546,22.5659,616.84,3770,0.011973,0.009578,0,38.78,45,397.44,400.93,37010,
bal10r04,baseline-low-10-rest,rest,baseline,low,10,4,s2,0,0,16.7589,20.7457,23.3593,595.25,2703,0.012447,0.009958,0,42.23,45,402.72,401.67,35714,
bal10r05,baseline-low-10-rest,rest,baseline,low,10,5,s3,0,0,15.6401,19.9802,23.1304,651.05,3080,0.011988,0.00959,0,42.04,45,400.34,406.45,39062,
bal10r06,baseline-low-10-rest,rest,baseline,low,10,6,s1,0,0,16.8051,22.5362,28.3087,592.61,2770,0.013522,0.010817,0,44.48,45,395.67,409.84,35556,
bal10r07,baseline-low-10-rest,rest,baseline,low,10,7,s1,0,0,11.0799,14.9911,18.3933,907.37,3256,0.008995,0.007196,0,42.38,45,398.26,402.69,54442,
bal10r08,baseline-low-10-rest,rest,baseline,low,10,8,s3,0,0,17.505,22.4362,28.5093,556.07,2668,0.013462,0.010769,0,40.43,45,403.45,402.86,33363,
bal10r09,baseline-low-10-rest,rest,baseline,low,10,9,s1,0,0,15.4342,20.5717,24.3009,668.26,2761,0.012343,0.009874,0,38.91,45,398.09,399.02,40095,
bal10r10,baseline-low-10-rest,rest,baseline,low,10,10,s2,0,0,16.3742,20.1771,24.2168,589.48,3160,0.012106,0.009685,0,39.7,45,397.88,404.6,35369,
bal10r11,baseline-low-10-rest,rest,baseline,low,10,11,s2,0,0,11.071,13.4793,15.1453,944.98,3143,0.008088,0.00647,0,37.28,45,398.11,411.5,56698,
bal10r12,baseline-low-10-rest,rest,baseline,low,10,12,s2,0,0,14.0683,18.899,22.4874,694.63,2657,0.011339,0.009072,0,42.52,45,391.36,407.17,41677,
bal10r13,baseline-low-10-rest,rest,baseline,low,10,13,s3,0,0,15.6558,19.3405,24.588,655.25,2809,0.011604,0.009283,0,40.7,45,400.11,413.01,39315,
bal10r14,baseline-low-10-rest,rest,baseline,low,10,14,s1,0,0,14.3675,17.4836,20.6859,664.11,3489,0.01049,0.008392,0,41.07,45,407.32,399.06,39846,
bal10r15,baseline-low-10-rest,rest,baseline,low,10,15,s1,0,0,13.3684,18.5156,22.5189,736.58,3228,0.011109,0.008887,0,39.33,45,392.65,399.92,44194,
bal10r16,baseline-low-10-rest,rest,baseline,low,10,16,s1,0,0,15.8708,19.3076,23.1176,629.5,3149,0.011585,0.009268,0,33.6,45,401.34,400.94,37770,
bal10r17,baseline-low-10-rest,rest,baseline,low,10,17,s2,0,0,13.9194,17.9252,19.7952,741.86,3056,0.010755,0.008604,0,39.52,45,394.82,396.63,44511,
bal10r18,baseline-low-10-rest,rest,baseline,low,10,18,s1,0,0,13.7428,17.2643,21.2677,744.17,3046,0.010359,0.008287,0,38.5,45,394.08,400.17,44650,
bal10r19,baseline-low-10-rest,rest,baseline,low,10,19,s1,0,0,13.1643,16.7738,21.2349,783.05,2674,0.010064,0.008051,0,42.79,45,401.92,404.22,46982,
bal10r20,baseline-low-10-rest,rest,baseline,low,10,20,s3,0,0,14.8903,20.656,23.4016,641.01,2558,0.012394,0.009915,0,40.52,45,407.9,405.8,38460,
bal10r21,baseline-low-10-rest,rest,baseline,low,10,21,s3,0,0,14.6831,19.1434,22.2673,699.58,2852,0.011486,0.009189,0,43.32,45,402.14,412.68,41974,
bal10r22,baseline-low-10-rest,rest,baseline,low,10,22,s3,0,0,15.503,21.5083,24.6957,620.7,3620,0.012905,0.010324,0,38.85,45,407.31,399.46,37242,
bal10r23,baseline-low-10-rest,rest,baseline,low,10,23,s1,0,0,12.7687,17.3078,22.4026,783.22,2941,0.010385,0.008308,0,41.01,45,407.04,405.45,46993,
bal10r24,baseline-low-10-rest,rest,baseline,low,10,24,s2,0,0,16.8434,20.6225,24.7731,605.24,2561,0.012374,0.009899,0,39.0,45,404.58,398.37,36314,
bal10r25,baseline-low-10-rest,rest,baseline,low,10,25,s1,0,0,15.0829,18.4728,23.7471,656.21,2882,0.011084,0.008867,0,43.01,45,402.69,411.69,39372,
