run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
05cbc5ebda87,B0003,rest,partial,high,10,0,lock-held-case2,1781958270.623,1781958281.028,17.1642,19.51408,20.961888000000016,573.9104562229495,11395,0.013614200000000002,0.010741,0,95.89,103.1,69.033,69.346,5745,
aaf33c9dd6de,B0003,rest,partial,high,10,1,lock-held-case2,1781958281.036,1781958291.431,17.3923,19.933155,22.9291,566.0707141168817,11395,0.01385865,0.0110565,0,96.4,103.85,68.85818181818182,69.42,5668,
9344e71493d4,B0003,rest,partial,high,10,2,lock-held-case2,1781958291.440,1781958301.926,17.3545,20.1425,23.407840000000004,564.8986637339095,11381,0.013753399999999999,0.010919,0,99.16,103.925,69.081,69.34649999999999,5654,
149a4cf14bd4,B0004,graphql,baseline,low,10,0,lock-held-case2,1781958314.229,1781958324.600,26.1112,32.0825,62.26153399999998,367.4709666223394,2161,0.027380500000000002,0.023366,0,96.98,102.38,75.099,75.56649999999999,3679,
08a8b79de089,B0004,graphql,baseline,low,10,1,lock-held-case2,1781958324.608,1781958335.053,26.233400000000003,31.1092,61.7756,364.3936257475884,2164,0.02789975,0.023662,0,95.25454545454545,101.5,75.31181818181818,75.58,3666,
6b500d4c3291,B0004,graphql,baseline,low,10,2,lock-held-case2,1781958335.062,1781958345.529,27.311,46.213204999999924,67.2531,333.6139237394707,2162.5,0.03721899999999999,0.0245,0,97.76,102.38,75.24799999999999,75.62,3342,
f9faaf72b193,B0006,graphql,partial,low,10,0,lock-held-case2,1781958355.913,1781958366.280,23.3961,26.5151,59.2382,409.7208543373494,1276,0.0232314,0.021016,0,97.12,101.5,75.123,75.49199999999999,4105,
d910ba1b84c6,B0006,graphql,partial,low,10,1,lock-held-case2,1781958366.288,1781958376.686,23.0139,25.921759999999992,58.8207,415.6391116463935,1266,0.022956799999999996,0.020675,0,94.56363636363636,103.1,75.11181818181818,75.41499999999999,4165,
5ae15aaf67a2,B0006,graphql,partial,low,10,2,lock-held-case2,1781958376.694,1781958387.072,23.32245,27.827474999999996,59.74310600000002,408.0214379733456,1276,0.02405765,0.0203885,0,100.27,103.925,75.201,75.55,4088,
11a64a37a83f,B0007,graphql,partial,high,10,0,lock-held-case2,1781958397.516,1781958407.882,0,0,0,22336.188006174558,0,,,1,,,,,223388,no_samples_in_window
61f8e05e3869,B0007,graphql,partial,high,10,1,lock-held-case2,1781958407.891,1781958418.263,0,0,0,22043.845056032664,0,,,1,,,,,220462,no_samples_in_window
333b909f2597,B0007,graphql,partial,high,10,2,lock-held-case2,1781958418.264,1781958428.633,0,0,0,21982.351628500037,0,,,1,,,,,219858,no_samples_in_window
