image_id,num_detections,tier
uav0000086_00000_v_frame0000001,36,Sedang
uav0000086_00000_v_frame0000002,36,Sedang
uav0000086_00000_v_frame0000003,36,Sedang
uav0000086_00000_v_frame0000004,36,Sedang
uav0000086_00000_v_frame0000005,36,Sedang
uav0000086_00000_v_frame0000006,36,Sedang
uav0000086_00000_v_frame0000007,36,Sedang
uav0000086_00000_v_frame0000008,36,Sedang
uav0000086_00000_v_frame0000009,36,Sedang
uav0000086_00000_v_frame0000010,36,Sedang
uav0000086_00000_v_frame0000011,36,Sedang
uav0000086_00000_v_frame0000012,36,Sedang
uav0000086_00000_v_frame0000013,36,Sedang
uav0000086_00000_v_frame0000014,36,Sedang
uav0000086_00000_v_frame0000015,36,Sedang
uav0000086_00000_v_frame0000016,36,Sedang
uav0000086_00000_v_frame0000017,36,Sedang
uav0000086_00000_v_frame0000018,36,Sedang
uav0000086_00000_v_frame0000019,36,Sedang
uav0000086_00000_v_frame0000020,36,Sedang
uav0000086_00000_v_frame0000021,36,Sedang
uav0000086_00000_v_frame0000022,36,Sedang
uav0000086_00000_v_frame0000023,36,Sedang
uav0000086_00000_v_frame0000024,36,Sedang
uav0000086_00000_v_frame0000025,36,Sedang
uav0000086_00000_v_frame0000026,36,Sedang
uav0000086_00000_v_frame0000027,36,Sedang
uav0000086_00000_v_frame0000028,36,Sedang
uav0000086_00000_v_frame0000029,36,Sedang
uav0000086_00000_v_frame0000030,36,Sedang
uav0000086_00000_v_frame0000031,36,Sedang
uav0000086_00000_v_frame0000032,36,Sedang
uav0000086_00000_v_frame0000033,36,Sedang
uav0000086_00000_v_frame0000034,36,Sedang
uav0000086_00000_v_frame0000035,36,Sedang
uav0000086_00000_v_frame0000036,36,Sedang
uav0000086_00000_v_frame0000037,36,Sedang
uav0000086_00000_v_frame0000038,36,Sedang
uav0000086_00000_v_frame0000039,36,Sedang
uav0000086_00000_v_frame0000040,36,Sedang
uav0000086_00000_v_frame0000041,36,Sedang
uav0000086_00000_v_frame0000042,36,Sedang
uav0000086_00000_v_frame0000043,36,Sedang
uav0000086_00000_v_frame0000044,36,Sedang
uav0000086_00000_v_frame0000045,36,Sedang
uav0000086_00000_v_frame0000046,36,Sedang
uav0000086_00000_v_frame0000047,36,Sedang
uav0000086_00000_v_frame0000048,37,Sedang
uav0000086_00000_v_frame0000049,37,Sedang
uav0000086_00000_v_frame0000050,37,Sedang
uav0000086_00000_v_frame0000051,37,Sedang
uav0000086_00000_v_frame0000052,37,Sedang
uav0000086_00000_v_frame0000053,37,Sedang
uav0000086_00000_v_frame0000054,37,Sedang
uav0000086_00000_v_frame0000055,37,Sedang
uav0000086_00000_v_frame0000056,37,Sedang
uav0000086_00000_v_frame0000057,37,Sedang
uav0000086_00000_v_frame0000058,37,Sedang
uav0000086_00000_v_frame0000059,37,Sedang
uav0000086_00000_v_frame0000060,37,Sedang
uav0000086_00000_v_frame0000061,37,Sedang
uav0000086_00000_v_frame0000062,37,Sedang
uav0000086_00000_v_frame0000063,37,Sedang
uav0000086_00000_v_frame0000064,37,Sedang
uav0000086_00000_v_frame0000065,37,Sedang
uav0000086_00000_v_frame0000066,37,Sedang
uav0000086_00000_v_frame0000067,37,Sedang
uav0000086_00000_v_frame0000068,37,Sedang
uav0000086_00000_v_frame0000069,37,Sedang
uav0000086_00000_v_frame0000070,37,Sedang
uav0000086_00000_v_frame0000071,37,Sedang
uav0000086_00000_v_frame0000072,37,Sedang
uav0000086_00000_v_frame0000073,37,Sedang
uav0000086_00000_v_frame0000074,37,Sedang
uav0000086_00000_v_frame0000075,37,Sedang
uav0000086_00000_v_frame0000076,37,Sedang
uav0000086_00000_v_frame0000077,37,Sedang
uav0000086_00000_v_frame0000078,37,Sedang
