epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,472.805,1.78135,1.46865,0.00195,0.49358,0.43286,0.41235,0.25002,1.62847,1.36387,0.00241,0.000237837,0.000237837,0.000237837
2,922.347,1.78683,1.47862,0.00196,0.48596,0.42271,0.40762,0.24661,1.63325,1.37953,0.00243,0.000471126,0.000471126,0.000471126
3,1373.13,1.80221,1.4856,0.00195,0.49615,0.42454,0.40761,0.24518,1.64698,1.37193,0.00246,0.000699703,0.000699703,0.000699703
4,1816.6,1.80084,1.4845,0.002,0.50275,0.42253,0.40857,0.24556,1.64753,1.36268,0.00244,0.000692794,0.000692794,0.000692794
5,2258.3,1.78188,1.45952,0.00199,0.51287,0.42649,0.41415,0.25128,1.63928,1.34864,0.00242,0.000685726,0.000685726,0.000685726
6,2700.48,1.79357,1.45939,0.00197,0.52158,0.42185,0.42351,0.25651,1.64044,1.3353,0.00242,0.000678657,0.000678657,0.000678657
7,3143.58,1.79105,1.45664,0.00194,0.50667,0.43625,0.42297,0.254,1.63224,1.34067,0.00243,0.000671588,0.000671588,0.000671588
8,3582.25,1.78439,1.44303,0.00196,0.53635,0.42656,0.4295,0.25906,1.64064,1.33065,0.00242,0.00066452,0.00066452,0.00066452
9,4021.17,1.78637,1.4442,0.00195,0.51141,0.44115,0.42699,0.25897,1.6259,1.32093,0.0024,0.000657451,0.000657451,0.000657451
10,4461.54,1.77883,1.4349,0.00195,0.51871,0.43886,0.42613,0.25696,1.62162,1.32622,0.00239,0.000650383,0.000650383,0.000650383
11,4900.83,1.78253,1.43235,0.00195,0.50292,0.44376,0.4275,0.25684,1.63198,1.33841,0.00242,0.000643314,0.000643314,0.000643314
12,5342.31,1.77325,1.41483,0.00195,0.52599,0.44097,0.43005,0.25924,1.63097,1.30881,0.00242,0.000636245,0.000636245,0.000636245
13,5780.4,1.77289,1.41825,0.00194,0.53232,0.44638,0.43935,0.26722,1.61963,1.30763,0.0024,0.000629177,0.000629177,0.000629177
14,6219.01,1.77405,1.41068,0.00193,0.51586,0.44381,0.43444,0.2635,1.62163,1.30979,0.00238,0.000622108,0.000622108,0.000622108
15,6658.25,1.76665,1.3987,0.00194,0.53731,0.44468,0.44182,0.2677,1.62413,1.29845,0.0024,0.00061504,0.00061504,0.00061504
16,7097.83,1.77158,1.40259,0.00192,0.52965,0.4488,0.44148,0.26687,1.61848,1.30059,0.00238,0.000607971,0.000607971,0.000607971
17,7537.14,1.76628,1.39238,0.00193,0.54675,0.4392,0.44666,0.27044,1.61615,1.29231,0.00239,0.000600902,0.000600902,0.000600902
18,7976.48,1.76459,1.38473,0.00193,0.54385,0.4517,0.45003,0.27086,1.61719,1.28615,0.00237,0.000593834,0.000593834,0.000593834
19,8424.04,1.76921,1.38326,0.00192,0.553,0.44728,0.45358,0.27548,1.60956,1.2769,0.00237,0.000586765,0.000586765,0.000586765
20,8867.83,1.75437,1.37208,0.0019,0.54336,0.45407,0.45239,0.27315,1.60687,1.27317,0.00236,0.000579697,0.000579697,0.000579697
21,9309.1,1.75595,1.37079,0.00192,0.5492,0.44858,0.45488,0.27633,1.6125,1.27431,0.00237,0.000572628,0.000572628,0.000572628
22,9748.19,1.743,1.35475,0.0019,0.54305,0.45746,0.46034,0.27979,1.603,1.26396,0.00235,0.000565559,0.000565559,0.000565559
23,10184.3,1.74566,1.3591,0.0019,0.55012,0.46113,0.45704,0.27936,1.60763,1.26148,0.00236,0.000558491,0.000558491,0.000558491
24,10622.6,1.75334,1.35615,0.00191,0.56136,0.4483,0.45827,0.2808,1.60176,1.26019,0.00235,0.000551422,0.000551422,0.000551422
25,11057.6,1.74721,1.35569,0.0019,0.54155,0.46743,0.46047,0.28134,1.59784,1.26006,0.00234,0.000544354,0.000544354,0.000544354
26,11494.8,1.74557,1.35234,0.0019,0.55872,0.46074,0.46496,0.28358,1.59977,1.25648,0.00234,0.000537285,0.000537285,0.000537285
27,11937.2,1.74494,1.34961,0.0019,0.55272,0.46474,0.46579,0.28551,1.59638,1.24976,0.00234,0.000530216,0.000530216,0.000530216
28,12381.1,1.74002,1.33735,0.00188,0.53349,0.46481,0.45742,0.27806,1.60162,1.25031,0.00235,0.000523148,0.000523148,0.000523148
29,12824,1.74492,1.34115,0.00187,0.55807,0.45688,0.46451,0.28154,1.60329,1.2644,0.00235,0.000516079,0.000516079,0.000516079
30,13262.5,1.73577,1.33465,0.00187,0.56128,0.46715,0.47007,0.28675,1.59494,1.25491,0.00234,0.000509011,0.000509011,0.000509011
31,13703.3,1.73294,1.32598,0.00187,0.55708,0.46862,0.47044,0.28707,1.59544,1.24255,0.00234,0.000501942,0.000501942,0.000501942
32,14144.3,1.74131,1.32606,0.00186,0.56654,0.4618,0.47068,0.28697,1.6028,1.2376,0.00234,0.000494873,0.000494873,0.000494873
33,14587.2,1.73138,1.31708,0.00186,0.56402,0.47089,0.4761,0.28959,1.59549,1.24007,0.00234,0.000487805,0.000487805,0.000487805
34,15024.7,1.73612,1.31692,0.00186,0.57512,0.47332,0.47866,0.29142,1.59465,1.22249,0.00233,0.000480736,0.000480736,0.000480736
35,15464.1,1.73065,1.30742,0.00186,0.57091,0.47618,0.48095,0.29359,1.59032,1.2266,0.00232,0.000473668,0.000473668,0.000473668
36,15903.7,1.72928,1.30997,0.00185,0.57387,0.46494,0.48093,0.29382,1.59153,1.21847,0.00233,0.000466599,0.000466599,0.000466599
37,16344.9,1.72335,1.30349,0.00185,0.56406,0.47326,0.47746,0.29165,1.59068,1.21857,0.00233,0.00045953,0.00045953,0.00045953
38,16786.5,1.73008,1.30453,0.00186,0.57437,0.47235,0.48098,0.29436,1.58738,1.22188,0.00232,0.000452462,0.000452462,0.000452462
39,17229.8,1.73361,1.30319,0.00184,0.56682,0.47686,0.48004,0.29338,1.59149,1.22056,0.00232,0.000445393,0.000445393,0.000445393
40,17671.7,1.72259,1.29996,0.00184,0.56827,0.47295,0.47982,0.29411,1.59075,1.22668,0.00232,0.000438325,0.000438325,0.000438325
41,18109.2,1.71907,1.29915,0.00186,0.56491,0.48163,0.48512,0.29648,1.58885,1.21588,0.00232,0.000431256,0.000431256,0.000431256
42,18545.2,1.72156,1.29542,0.00184,0.57093,0.48034,0.4847,0.29728,1.58775,1.21397,0.00232,0.000424187,0.000424187,0.000424187
43,18985.2,1.71855,1.29143,0.00182,0.57466,0.47963,0.48256,0.29524,1.58543,1.21465,0.00232,0.000417119,0.000417119,0.000417119
