epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.348,1.952,3.21749,0.0023,0.38213,0.1831,0.112,0.05991,1.77661,2.35856,0.00297,0.00333127,0.00333127,0.0700185
2,900.08,1.93044,2.43064,0.00223,0.319,0.23258,0.14912,0.0839,1.75047,2.12692,0.00291,0.00663162,0.00663162,0.0399856
3,1336.94,1.92502,2.21807,0.00221,0.29078,0.27498,0.18891,0.10636,1.7348,1.97204,0.00289,0.00989896,0.00989896,0.00991956
4,1770.74,1.912,2.10258,0.00221,0.34216,0.2849,0.22269,0.12592,1.72591,1.87813,0.00288,0.0098515,0.0098515,0.0098515
5,2204.1,1.8858,1.98433,0.00216,0.37422,0.30635,0.25639,0.14836,1.69835,1.78792,0.00281,0.009802,0.009802,0.009802
6,2641.5,1.88054,1.8951,0.00212,0.35663,0.33716,0.26656,0.15388,1.71561,1.77606,0.00283,0.0097525,0.0097525,0.0097525
7,3077.79,1.87516,1.82507,0.00211,0.38237,0.35011,0.28196,0.16296,1.69726,1.68441,0.0028,0.009703,0.009703,0.009703
8,3514.27,1.86345,1.76155,0.00209,0.40282,0.36009,0.30123,0.17701,1.69031,1.65201,0.00276,0.0096535,0.0096535,0.0096535
9,3948.98,1.85644,1.71885,0.00208,0.41568,0.36106,0.31488,0.18503,1.69009,1.6247,0.00277,0.009604,0.009604,0.009604
10,4384.29,1.84944,1.67741,0.00206,0.42955,0.37012,0.32665,0.19251,1.69153,1.58885,0.0028,0.0095545,0.0095545,0.0095545
11,4819.49,1.85165,1.6537,0.00205,0.43646,0.3733,0.33463,0.19604,1.67565,1.57717,0.00274,0.009505,0.009505,0.009505
12,5253.78,1.83777,1.61911,0.00206,0.45034,0.37674,0.34124,0.20104,1.67891,1.53057,0.00278,0.0094555,0.0094555,0.0094555
13,5691.02,1.84449,1.60082,0.00203,0.44896,0.37919,0.34309,0.20225,1.66088,1.53833,0.00272,0.009406,0.009406,0.009406
14,6125.93,1.83349,1.58789,0.00203,0.46242,0.38397,0.34982,0.20692,1.66284,1.51949,0.00272,0.0093565,0.0093565,0.0093565
15,6559.67,1.82923,1.56507,0.00202,0.47531,0.38046,0.35569,0.21273,1.65341,1.48789,0.00271,0.009307,0.009307,0.009307
16,6994.83,1.82354,1.55463,0.00202,0.47054,0.39067,0.36031,0.21286,1.6621,1.4975,0.00272,0.0092575,0.0092575,0.0092575
17,7430.32,1.82571,1.54171,0.00202,0.46895,0.39296,0.36394,0.21712,1.66066,1.47498,0.00272,0.009208,0.009208,0.009208
18,7864.62,1.81598,1.52573,0.002,0.46279,0.38989,0.36362,0.21836,1.65082,1.46924,0.00273,0.0091585,0.0091585,0.0091585
19,8299.64,1.80886,1.51759,0.00201,0.47283,0.40909,0.37052,0.21996,1.65403,1.46648,0.0027,0.009109,0.009109,0.009109
20,8735.87,1.81397,1.51274,0.002,0.47255,0.40299,0.37528,0.22364,1.64968,1.45373,0.0027,0.0090595,0.0090595,0.0090595
21,9170.89,1.807,1.49744,0.00201,0.48753,0.40066,0.37986,0.22706,1.64146,1.44552,0.00268,0.00901,0.00901,0.00901
22,9607.94,1.81045,1.49347,0.00198,0.4963,0.40921,0.38645,0.23025,1.64545,1.42936,0.00268,0.0089605,0.0089605,0.0089605
23,10040.9,1.79501,1.47961,0.002,0.49511,0.4092,0.39085,0.2339,1.64216,1.42843,0.00269,0.008911,0.008911,0.008911
24,10477.1,1.7947,1.47184,0.00199,0.49082,0.40561,0.38472,0.22946,1.64611,1.43171,0.0027,0.0088615,0.0088615,0.0088615
25,10910.1,1.79004,1.45898,0.00198,0.49742,0.40963,0.39183,0.2346,1.64318,1.41913,0.00268,0.008812,0.008812,0.008812
26,11345.1,1.79447,1.45414,0.00199,0.49752,0.40777,0.38937,0.23303,1.63652,1.40932,0.00266,0.0087625,0.0087625,0.0087625
27,11783.9,1.7923,1.4487,0.00197,0.50877,0.41239,0.39558,0.23619,1.63957,1.40461,0.00267,0.008713,0.008713,0.008713
28,12221.5,1.79703,1.44686,0.00197,0.51208,0.42008,0.40017,0.24165,1.6363,1.38977,0.00268,0.0086635,0.0086635,0.0086635
29,12656.2,1.78598,1.44169,0.00197,0.5039,0.40865,0.39681,0.23812,1.63515,1.40225,0.00267,0.008614,0.008614,0.008614
30,13096.4,1.79405,1.43191,0.00196,0.49956,0.42364,0.40218,0.24269,1.62498,1.38742,0.00265,0.0085645,0.0085645,0.0085645
31,13529,1.77864,1.42686,0.00195,0.51197,0.42425,0.40533,0.24227,1.63049,1.38557,0.00267,0.008515,0.008515,0.008515
32,13963.5,1.77662,1.41116,0.00194,0.52181,0.41518,0.41015,0.24526,1.6256,1.37137,0.00265,0.0084655,0.0084655,0.0084655
33,14396.5,1.77863,1.41973,0.00197,0.49723,0.42812,0.40711,0.24405,1.62769,1.38113,0.00266,0.008416,0.008416,0.008416
34,14832.9,1.78294,1.40993,0.00194,0.51911,0.42116,0.41203,0.2467,1.62418,1.36389,0.00264,0.0083665,0.0083665,0.0083665
35,15267.6,1.77769,1.40787,0.00193,0.52349,0.41842,0.41023,0.24691,1.62207,1.36881,0.00263,0.008317,0.008317,0.008317
36,15700.6,1.78418,1.40947,0.00196,0.5206,0.42382,0.41162,0.24679,1.62359,1.35878,0.00265,0.0082675,0.0082675,0.0082675
37,16132.3,1.77085,1.40063,0.00195,0.51668,0.42389,0.41361,0.2486,1.61817,1.3613,0.00263,0.008218,0.008218,0.008218
38,16567.4,1.78316,1.40196,0.00195,0.53298,0.42183,0.42072,0.25228,1.6205,1.34879,0.00262,0.0081685,0.0081685,0.0081685
39,17002.1,1.77798,1.39368,0.00193,0.53044,0.42322,0.41563,0.24943,1.62478,1.35232,0.00264,0.008119,0.008119,0.008119
